
0it [00:00, ?it/s]
986it [00:29, 20.69it/s, bound:0 nc:  2 ncall:6.3e+03 eff:15.8% logz=-58.16+/-0.14 dlogz:28.859>0.1]
990it [00:29, 23.97it/s, bound:0 nc:  7 ncall:6.3e+03 eff:15.8% logz=-57.98+/-0.14 dlogz:28.672>0.1]
993it [00:30, 17.44it/s, bound:0 nc: 11 ncall:6.4e+03 eff:15.6% logz=-57.85+/-0.15 dlogz:28.534>0.1]
996it [00:30, 16.64it/s, bound:0 nc: 14 ncall:6.4e+03 eff:15.5% logz=-57.73+/-0.15 dlogz:28.400>0.1]
1000it [00:30, 20.29it/s, bound:0 nc:  6 ncall:6.5e+03 eff:15.5% logz=-57.57+/-0.15 dlogz:28.234>0.1]
1005it [00:30, 24.02it/s, bound:0 nc: 14 ncall:6.5e+03 eff:15.5% logz=-57.35+/-0.15 dlogz:28.008>0.1]
1009it [00:30, 20.64it/s, bound:0 nc: 45 ncall:6.6e+03 eff:15.4% logz=-57.18+/-0.15 dlogz:27.987>0.1]
1012it [00:31, 15.45it/s, bound:0 nc: 44 ncall:6.6e+03 eff:15.2% logz=-57.04+/-0.15 dlogz:27.845>0.1]
1014it [00:31, 10.57it/s, bound:0 nc: 43 ncall:6.8e+03 eff:15.0% logz=-56.95+/-0.15 dlogz:27.751>0.1]
1021it [00:31, 17.61it/s, bound:0 nc:  5 ncall:6.8e+03 eff:15.0% logz=-56.64+/-0.15 dlogz:27.419>0.1]
1024it [00:32, 15.22it/s, bound:0 nc:  5 ncall:6.9e+03 eff:14.9% logz=-56.51+/-0.15 dlogz:27.281>0.1]
1027it [00:32, 14.14it/s, bound:0 nc: 34 ncall:6.9e+03 eff:14.8% logz=-56.39+/-0.15 dlogz:27.151>0.1]
1029it [00:32, 13.07it/s, bound:0 nc: 28 ncall:7.0e+03 eff:14.7% logz=-56.31+/-0.15 dlogz:27.067>0.1]
1032it [00:32, 15.26it/s, bound:0 nc:  7 ncall:7.0e+03 eff:14.7% logz=-56.18+/-0.15 dlogz:26.936>0.1]
