mu1 sigma1 mu2 sigma2 alpha mup
1.2875017287359503 0.061303559645036775 1.6185564848454477 0.7854920717158043 0.7320437084140603 2.3855352972290826
1.378274820717174 0.09819310272095554 2.090517289811623 0.8339316418612293 0.6836739642131829 2.1126071075215167
1.3673324100043682 0.0943764507016796 1.5869341199997793 1.2886471410421163 0.9005296511296019 1.9844568384637753
1.3282390953945553 0.13008951250957168 1.9691276898006027 0.3959497208393223 0.9032684998856174 2.170888094396636
0.9727522678453633 1.6183023828529226 1.313371110170476 0.04800122575197135 0.16736028884759752 2.3775537056299947
1.310870512708743 0.03455699487336478 2.5559397533408004 1.582280619336768 0.6302791033224372 2.1263564167218627
1.2930145731276403 0.06854604987498028 2.666862943943768 1.3614181974714052 0.4881427909621431 1.9736808298826425
1.277146527379589 0.08008361021872906 2.327502465279518 1.213041951053219 0.7735979763595947 1.9784485141586279
1.3097029651510619 0.07674170021120828 2.5649457149204835 1.106738525426692 0.60477365404239 2.2770506047455576
1.3264893694134445 0.0952928891086193 2.5302348548121816 1.8772766546671464 0.6962985559316794 2.3570662732691035
1.3120581326154703 0.12651133845220888 1.7676670692199954 0.2682994158666033 0.8397979835270283 1.957409743073236
1.3380927946316736 0.1057291245342713 2.2295404535069143 1.8301495781537545 0.8299477471263979 1.9383656335501172
1.3347478766988603 0.11524186209741438 2.237242263516031 0.7034016419810368 0.8126203036222984 1.9153018817969238
1.295333132586126 0.07152110277504775 2.0972597144325396 1.607685543262735 0.8390371649770011 2.3553614347602694
1.3633994729656649 0.10608435478796277 1.6437907530542577 0.31481996821405933 0.6041338615386562 2.0929063466830744
1.345156270443193 0.0989240498198519 2.354890575579974 0.926089308480411 0.8322358805962499 2.5501477588900494
1.1784956136045333 0.7245637071361503 1.3065787838154352 0.04403669590917153 0.40785294125408467 2.280672077069969
1.3119053867583739 0.06872700878418515 1.4607846068051713 1.0690386416022637 0.7437913233950493 2.8729786709016003
0.9078439904218556 1.2554467160378453 1.3165136150272352 0.08644441087463864 0.2245438792621604 2.65788236616642
1.3384058560414145 0.11624384244809377 1.3746202436294077 0.7468291625011958 0.8622847895499562 2.08015293588843
1.3152304756488966 0.10393975236473277 2.056217240723325 1.3876845040764942 0.7999840530083546 2.3212920624405475
1.3337410674871446 0.04561636679296216 1.861199299060655 1.7513541419515175 0.49659696274729004 2.1196169750261857
1.3422610134721524 0.098115076596933 1.3460558726886176 0.5564924575779662 0.6982420098194277 2.6895585099523753
1.2987676730786604 0.08505617766780918 2.17141171954811 1.073839287092682 0.7498550118632507 2.3550785283370215
1.3639844645893326 0.0867419925776656 1.3700170561445453 1.2930109134720644 0.6881849873235397 2.2144818203355925
1.3492480528121706 0.06512084600736424 1.864523826819243 0.2660420957606239 0.6610292791046193 2.4448556621060424
1.363023356918488 0.09193022128554146 2.3706887888560417 1.754131136898201 0.695608212934602 2.215035232703961
1.338621861115862 0.0775487818902157 1.4136608279935916 0.429066288350327 0.5215077298227756 2.6205892549103766
1.3432928612049446 0.05993899212833461 1.3903979640102588 1.8126723222262389 0.775569353360912 1.9087254007949892
1.3013925546808753 0.10892727362753399 1.8747863381895207 0.6015368772061629 0.8936156917434529 2.0190977895244693
1.3640786596028105 0.1338263975124158 2.1766357469360806 0.18517396907894515 0.9326287647419867 2.009028136113572
1.357955120704752 0.08062954950842215 1.4900956267094503 0.907072435537401 0.7214855669731084 2.4244177193190715
1.3367011013022678 0.08072120414323436 1.8587997413585535 0.8019892576581912 0.7105534197453574 2.6319029421227245
1.35312026630585 0.06488269764968049 1.4823470508006125 1.3210911408277224 0.549551895323157 2.103186075185793
1.3211527166487622 0.10051677465149696 1.7990839654673716 0.17389936439526668 0.6475183730296743 2.3886498404653853
1.286948585061944 0.06284363269616824 1.7138182073040455 1.2167173071815673 0.7572357309842601 1.9536839920198958
1.3483385873791125 0.055567017721549324 2.308852505211952 0.8401637503681667 0.8400006982065995 2.2942255857086287
1.3198247207627112 0.04909048010253796 2.242591909414524 1.0978105538970533 0.5457566720343152 2.2097677406521585
1.2873581112917334 0.06018298619559456 2.6231533074048405 1.1846391238436706 0.718584856209361 2.21437920749949
1.3090748814927928 0.08685021716850375 1.6514763466068034 1.1377019967133932 0.7325960730886462 2.4053739404419394
1.3305360868458798 0.07728482898166282 2.0882993122980427 1.5497464992014334 0.5269651335655717 2.1197006184321734
1.3340049895480466 0.06934819254251097 1.5529135639870186 1.8626052987705242 0.665012169421285 2.4559269583603975
1.314520588852216 0.08118994023421233 2.674772659675237 0.4943339838469501 0.8733924389597625 2.2965064493671923
1.3115780993879225 0.0728870331011363 2.038298509662031 1.387602049887522 0.6147700099439951 1.906704238248388
1.3167041866681766 0.07093175891437946 1.6727592336616341 0.5837391512354663 0.9110104856523792 2.7625748054908987
1.343345445532751 0.051637779750048185 2.558059102126465 1.794591474115263 0.6295201595447819 2.2368002621265983
1.3268306187798637 0.07525160744240714 2.4644523721542764 0.5240664930902725 0.8612611612494674 2.4587200653770642
1.258360398919321 0.8768114439119729 1.3413205466854703 0.040369757093644855 0.2877775993488566 1.9887137439759863
1.3166188198566229 0.09006254350668157 1.382807362436924 1.5598466385356298 0.881859944450845 1.9685157981804038
1.3577762111827254 0.0649724097106524 1.7160631538887081 0.6368456465826746 0.7355999772073873 2.38551829749073
1.299401591635442 0.046966733629686924 2.1434261485772192 0.7924273799988207 0.5847151030391727 2.155273902617687
1.3724359142235296 0.0978369072852173 1.8749065879046696 1.4959284723883568 0.800475832424966 2.1548887128177574
1.363383047784533 0.09686680127227149 1.4319144427698487 0.41332006019733347 0.790135268168006 2.5318409139499223
