
0it [00:00, ?it/s]
638it [00:26, 27.29it/s, bound:0 nc:  7 ncall:2.0e+03 eff:32.0% logz=-11.20+/-0.14 dlogz:66.104>0.1]
641it [00:26, 26.66it/s, bound:0 nc:  2 ncall:2.0e+03 eff:31.9% logz=-11.02+/-0.14 dlogz:65.923>0.1]
644it [00:26, 23.36it/s, bound:0 nc: 11 ncall:2.0e+03 eff:31.6% logz=-10.82+/-0.14 dlogz:65.712>0.1]
647it [00:27, 24.45it/s, bound:0 nc:  1 ncall:2.1e+03 eff:31.5% logz=-10.63+/-0.14 dlogz:65.510>0.1]
650it [00:27, 24.83it/s, bound:0 nc:  5 ncall:2.1e+03 eff:31.5% logz=-10.46+/-0.14 dlogz:65.330>0.1]
653it [00:27, 25.53it/s, bound:0 nc:  7 ncall:2.1e+03 eff:31.3% logz=-10.31+/-0.14 dlogz:65.166>0.1]
658it [00:27, 31.41it/s, bound:0 nc:  6 ncall:2.1e+03 eff:31.3% logz=-10.06+/-0.14 dlogz:64.905>0.1]
662it [00:27, 29.18it/s, bound:0 nc:  7 ncall:2.1e+03 eff:31.3% logz=-9.86+/-0.14 dlogz:64.705>0.1] 
666it [00:27, 26.89it/s, bound:0 nc:  6 ncall:2.1e+03 eff:31.1% logz=-9.60+/-0.14 dlogz:64.433>0.1]
671it [00:27, 28.96it/s, bound:0 nc:  2 ncall:2.2e+03 eff:31.2% logz=-9.25+/-0.14 dlogz:64.086>0.1]
674it [00:28, 25.08it/s, bound:0 nc:  6 ncall:2.2e+03 eff:30.9% logz=-9.04+/-0.14 dlogz:63.859>0.1]
678it [00:28, 24.50it/s, bound:0 nc: 10 ncall:2.2e+03 eff:30.8% logz=-8.78+/-0.14 dlogz:63.583>0.1]
682it [00:28, 25.17it/s, bound:0 nc:  5 ncall:2.2e+03 eff:30.7% logz=-8.52+/-0.14 dlogz:63.322>0.1]
685it [00:28, 22.02it/s, bound:0 nc:  1 ncall:2.2e+03 eff:30.5% logz=-8.34+/-0.14 dlogz:63.125>0.1]
690it [00:28, 26.37it/s, bound:0 nc:  6 ncall:2.3e+03 eff:30.6% logz=-8.00+/-0.14 dlogz:62.786>0.1]
693it [00:28, 26.14it/s, bound:0 nc:  2 ncall:2.3e+03 eff:30.4% logz=-7.80+/-0.14 dlogz:62.572>0.1]
699it [00:28, 32.57it/s, bound:0 nc:  3 ncall:2.3e+03 eff:30.5% logz=-7.41+/-0.14 dlogz:62.168>0.1]
704it [00:29, 35.44it/s, bound:0 nc:  9 ncall:2.3e+03 eff:30.4% logz=-7.04+/-0.14 dlogz:61.794>0.1]
708it [00:29, 36.17it/s, bound:0 nc:  3 ncall:2.3e+03 eff:30.5% logz=-6.73+/-0.14 dlogz:61.479>0.1]
712it [00:29, 31.29it/s, bound:0 nc:  4 ncall:2.3e+03 eff:30.3% logz=-6.45+/-0.14 dlogz:61.171>0.1]
717it [00:29, 34.81it/s, bound:0 nc:  8 ncall:2.4e+03 eff:30.3% logz=-6.15+/-0.14 dlogz:60.850>0.1]
721it [00:29, 30.48it/s, bound:0 nc: 11 ncall:2.4e+03 eff:30.2% logz=-5.91+/-0.14 dlogz:60.607>0.1]
725it [00:29, 22.11it/s, bound:0 nc: 11 ncall:2.4e+03 eff:29.9% logz=-5.66+/-0.14 dlogz:60.349>0.1]
728it [00:29, 22.90it/s, bound:0 nc: 11 ncall:2.4e+03 eff:29.8% logz=-5.47+/-0.14 dlogz:60.157>0.1]
732it [00:30, 25.46it/s, bound:0 nc:  9 ncall:2.5e+03 eff:29.7% logz=-5.20+/-0.14 dlogz:59.875>0.1]
735it [00:30, 21.94it/s, bound:0 nc:  7 ncall:2.5e+03 eff:29.6% logz=-4.99+/-0.14 dlogz:59.660>0.1]
738it [00:30, 22.98it/s, bound:0 nc:  8 ncall:2.5e+03 eff:29.6% logz=-4.77+/-0.14 dlogz:59.437>0.1]
741it [00:30, 23.70it/s, bound:0 nc:  6 ncall:2.5e+03 eff:29.5% logz=-4.56+/-0.14 dlogz:59.212>0.1]
747it [00:30, 31.09it/s, bound:0 nc:  4 ncall:2.5e+03 eff:29.5% logz=-4.17+/-0.14 dlogz:58.802>0.1]
751it [00:30, 22.94it/s, bound:0 nc:  4 ncall:2.6e+03 eff:29.2% logz=-3.93+/-0.14 dlogz:58.552>0.1]
754it [00:31, 23.62it/s, bound:0 nc:  3 ncall:2.6e+03 eff:29.2% logz=-3.77+/-0.14 dlogz:58.376>0.1]
757it [00:31, 19.46it/s, bound:0 nc: 13 ncall:2.6e+03 eff:28.9% logz=-3.56+/-0.14 dlogz:58.173>0.1]
760it [00:31, 19.53it/s, bound:0 nc:  3 ncall:2.6e+03 eff:28.9% logz=-3.35+/-0.14 dlogz:57.960>0.1]
763it [00:31, 15.58it/s, bound:0 nc: 15 ncall:2.7e+03 eff:28.5% logz=-3.16+/-0.14 dlogz:57.754>0.1]
766it [00:32, 12.15it/s, bound:0 nc: 29 ncall:2.7e+03 eff:28.2% logz=-2.96+/-0.14 dlogz:57.549>0.1]
770it [00:32, 14.23it/s, bound:0 nc:  3 ncall:2.7e+03 eff:28.2% logz=-2.70+/-0.14 dlogz:57.274>0.1]
772it [00:32, 13.27it/s, bound:0 nc:  5 ncall:2.7e+03 eff:28.1% logz=-2.58+/-0.14 dlogz:57.147>0.1]
776it [00:32, 16.91it/s, bound:0 nc:  2 ncall:2.8e+03 eff:28.1% logz=-2.32+/-0.14 dlogz:56.881>0.1]
779it [00:32, 13.34it/s, bound:0 nc:  3 ncall:2.8e+03 eff:27.7% logz=-2.14+/-0.14 dlogz:56.694>0.1]
781it [00:33, 11.93it/s, bound:0 nc: 16 ncall:2.8e+03 eff:27.5% logz=-2.01+/-0.14 dlogz:56.565>0.1]
783it [00:33, 11.57it/s, bound:0 nc:  1 ncall:2.9e+03 eff:27.4% logz=-1.86+/-0.14 dlogz:56.426>0.1]
785it [00:33,  7.90it/s, bound:0 nc: 17 ncall:2.9e+03 eff:27.1% logz=-1.69+/-0.15 dlogz:56.253>0.1]
788it [00:34, 10.23it/s, bound:0 nc:  2 ncall:2.9e+03 eff:27.1% logz=-1.46+/-0.15 dlogz:56.001>0.1]
791it [00:34, 12.65it/s, bound:0 nc:  1 ncall:2.9e+03 eff:27.1% logz=-1.25+/-0.15 dlogz:55.784>0.1]
793it [00:34, 13.79it/s, bound:0 nc:  2 ncall:2.9e+03 eff:27.0% logz=-1.13+/-0.15 dlogz:55.644>0.1]
795it [00:34, 14.52it/s, bound:0 nc:  4 ncall:3.0e+03 eff:26.9% logz=-0.99+/-0.15 dlogz:55.513>0.1]
798it [00:34, 15.39it/s, bound:0 nc: 16 ncall:3.0e+03 eff:26.8% logz=-0.79+/-0.15 dlogz:55.298>0.1]
800it [00:34, 12.40it/s, bound:0 nc:  6 ncall:3.0e+03 eff:26.6% logz=-0.66+/-0.15 dlogz:55.164>0.1]
803it [00:34, 14.46it/s, bound:0 nc:  5 ncall:3.0e+03 eff:26.6% logz=-0.47+/-0.15 dlogz:54.966>0.1]
805it [00:35, 14.77it/s, bound:0 nc: 20 ncall:3.0e+03 eff:26.5% logz=-0.36+/-0.15 dlogz:54.842>0.1]
807it [00:35, 13.54it/s, bound:0 nc:  2 ncall:3.1e+03 eff:26.4% logz=-0.25+/-0.15 dlogz:54.727>0.1]
810it [00:35, 12.22it/s, bound:0 nc: 26 ncall:3.1e+03 eff:26.2% logz=-0.10+/-0.14 dlogz:54.569>0.1]
812it [00:35, 13.41it/s, bound:0 nc: 15 ncall:3.1e+03 eff:26.0% logz=0.03+/-0.14 dlogz:54.443>0.1] 
814it [00:35, 13.34it/s, bound:0 nc:  4 ncall:3.1e+03 eff:26.0% logz=0.15+/-0.14 dlogz:54.316>0.1]
817it [00:35, 15.83it/s, bound:0 nc:  6 ncall:3.1e+03 eff:26.0% logz=0.31+/-0.14 dlogz:54.140>0.1]
821it [00:36, 20.11it/s, bound:0 nc:  7 ncall:3.2e+03 eff:26.0% logz=0.53+/-0.14 dlogz:53.913>0.1]
824it [00:36, 17.26it/s, bound:0 nc:  6 ncall:3.2e+03 eff:25.8% logz=0.69+/-0.14 dlogz:53.745>0.1]
826it [00:36, 15.57it/s, bound:0 nc: 18 ncall:3.2e+03 eff:25.7% logz=0.80+/-0.14 dlogz:53.629>0.1]
828it [00:36, 15.96it/s, bound:0 nc: 17 ncall:3.2e+03 eff:25.6% logz=0.91+/-0.14 dlogz:53.516>0.1]
831it [00:36, 16.35it/s, bound:0 nc: 16 ncall:3.3e+03 eff:25.5% logz=1.08+/-0.14 dlogz:53.345>0.1]
834it [00:36, 16.79it/s, bound:0 nc: 20 ncall:3.3e+03 eff:25.4% logz=1.27+/-0.14 dlogz:53.147>0.1]
836it [00:37, 13.74it/s, bound:0 nc: 27 ncall:3.3e+03 eff:25.2% logz=1.38+/-0.14 dlogz:53.026>0.1]
838it [00:37, 14.48it/s, bound:0 nc: 10 ncall:3.3e+03 eff:25.2% logz=1.50+/-0.14 dlogz:52.906>0.1]
840it [00:37, 13.94it/s, bound:0 nc: 21 ncall:3.4e+03 eff:25.0% logz=1.61+/-0.14 dlogz:52.783>0.1]
842it [00:37, 10.28it/s, bound:0 nc: 43 ncall:3.4e+03 eff:24.7% logz=1.72+/-0.14 dlogz:52.665>0.1]
844it [00:38,  9.01it/s, bound:0 nc: 18 ncall:3.4e+03 eff:24.5% logz=1.83+/-0.14 dlogz:52.553>0.1]
846it [00:38, 10.45it/s, bound:0 nc: 12 ncall:3.5e+03 eff:24.4% logz=1.93+/-0.14 dlogz:52.443>0.1]
848it [00:38, 10.75it/s, bound:0 nc: 10 ncall:3.5e+03 eff:24.3% logz=2.04+/-0.14 dlogz:52.333>0.1]
851it [00:38, 13.40it/s, bound:0 nc:  9 ncall:3.5e+03 eff:24.3% logz=2.18+/-0.14 dlogz:52.178>0.1]
853it [00:38, 12.14it/s, bound:0 nc: 19 ncall:3.5e+03 eff:24.2% logz=2.27+/-0.14 dlogz:52.081>0.1]
856it [00:38, 12.47it/s, bound:0 nc: 29 ncall:3.6e+03 eff:24.1% logz=2.40+/-0.14 dlogz:51.945>0.1]
858it [00:39, 10.54it/s, bound:0 nc:  8 ncall:3.6e+03 eff:23.9% logz=2.48+/-0.14 dlogz:51.855>0.1]
860it [00:39,  9.50it/s, bound:0 nc: 14 ncall:3.6e+03 eff:23.7% logz=2.56+/-0.14 dlogz:51.767>0.1]
863it [00:39, 12.46it/s, bound:0 nc: 11 ncall:3.6e+03 eff:23.7% logz=2.68+/-0.14 dlogz:51.642>0.1]
865it [00:39, 11.63it/s, bound:0 nc: 26 ncall:3.7e+03 eff:23.5% logz=2.75+/-0.14 dlogz:51.562>0.1]
869it [00:39, 16.19it/s, bound:0 nc: 10 ncall:3.7e+03 eff:23.5% logz=2.91+/-0.14 dlogz:51.395>0.1]
871it [00:40, 14.92it/s, bound:0 nc: 15 ncall:3.7e+03 eff:23.4% logz=2.99+/-0.14 dlogz:51.308>0.1]
874it [00:40, 11.48it/s, bound:0 nc: 45 ncall:3.8e+03 eff:23.2% logz=3.11+/-0.14 dlogz:51.186>0.1]
877it [00:40, 14.00it/s, bound:0 nc:  4 ncall:3.8e+03 eff:23.2% logz=3.24+/-0.14 dlogz:51.052>0.1]
879it [00:40, 13.19it/s, bound:0 nc:  5 ncall:3.8e+03 eff:23.1% logz=3.32+/-0.14 dlogz:50.962>0.1]
881it [00:40, 10.79it/s, bound:0 nc: 35 ncall:3.8e+03 eff:22.9% logz=3.40+/-0.14 dlogz:50.874>0.1]
883it [00:41, 11.88it/s, bound:0 nc:  2 ncall:3.9e+03 eff:22.9% logz=3.48+/-0.14 dlogz:50.792>0.1]
886it [00:41,  9.58it/s, bound:0 nc: 49 ncall:3.9e+03 eff:22.6% logz=3.58+/-0.14 dlogz:50.676>0.1]
889it [00:41,  8.43it/s, bound:0 nc: 56 ncall:4.0e+03 eff:22.3% logz=3.71+/-0.14 dlogz:50.551>0.1]
893it [00:42, 11.43it/s, bound:0 nc:  7 ncall:4.0e+03 eff:22.3% logz=3.89+/-0.14 dlogz:50.366>0.1]
896it [00:42, 11.56it/s, bound:0 nc: 19 ncall:4.0e+03 eff:22.3% logz=4.02+/-0.14 dlogz:50.221>0.1]
899it [00:42, 11.56it/s, bound:0 nc: 17 ncall:4.0e+03 eff:22.2% logz=4.16+/-0.14 dlogz:50.081>0.1]
901it [00:42, 12.44it/s, bound:0 nc:  2 ncall:4.1e+03 eff:22.2% logz=4.25+/-0.14 dlogz:49.985>0.1]
903it [00:42, 11.26it/s, bound:0 nc:  2 ncall:4.1e+03 eff:22.1% logz=4.33+/-0.14 dlogz:49.892>0.1]
905it [00:43,  7.54it/s, bound:0 nc:  9 ncall:4.1e+03 eff:21.8% logz=4.42+/-0.14 dlogz:49.798>0.1]
907it [00:43,  6.28it/s, bound:0 nc: 35 ncall:4.2e+03 eff:21.6% logz=4.52+/-0.14 dlogz:49.703>0.1]
909it [00:44,  7.59it/s, bound:0 nc:  8 ncall:4.2e+03 eff:21.5% logz=4.63+/-0.14 dlogz:49.593>0.1]
911it [00:44,  9.16it/s, bound:0 nc: 13 ncall:4.2e+03 eff:21.5% logz=4.73+/-0.14 dlogz:49.480>0.1]
913it [00:44,  8.36it/s, bound:0 nc: 19 ncall:4.3e+03 eff:21.3% logz=4.83+/-0.14 dlogz:49.375>0.1]
915it [00:44,  8.54it/s, bound:0 nc: 23 ncall:4.3e+03 eff:21.2% logz=4.92+/-0.14 dlogz:49.274>0.1]
