mu1 sigma1 mu2 sigma2 alpha mu3 sigma3 beta
1.0254214298467415 0.3856444766515319 1.2966774320372694 0.06735517233548853 0.14044607605246243 2.7315531551675627 0.5407505410690107 0.7684104382268307
1.2999893970128265 0.06920565037061431 1.3597450408248637 0.050731408891952615 0.5451345716636539 2.119611770605153 0.48071292085499207 0.3449298381845958
1.2492450276344491 0.1256214684573167 1.6050479584998347 0.2825031625428133 0.6845827362498658 2.493115604609542 0.9242874705246191 0.3011792583835809
1.3053342733474038 0.10033532413389798 1.847285445963116 1.2450657557392328 0.7631194107040736 2.6446197332675414 1.6904026173617561 0.1909739791972566
1.2285886044080945 1.2198036102807346 1.2444144883013704 0.05621493001518573 0.031745829074584064 1.4916033293968094 0.6452676440928026 0.6960873439306039
0.9965218493603741 0.8872943187126341 1.3159174787750971 0.08235961473995 0.3337160360262524 1.422418718143453 1.702896626169622 0.6250338924854891
1.2991587404584326 0.04606225500708524 1.3216452985502392 1.7062050506587105 0.4500913252761942 1.3597271709587178 0.17266195425389924 0.2361163981102597
1.0982931212571725 0.4016662547719257 1.274048254358963 0.03702747794933106 0.2569700124346653 1.8333821896795892 1.9979155044828505 0.6958288975170578
1.2706954813198976 0.3428379537285126 1.2823349524920764 0.10467912754812947 0.16200179029987827 2.5005897634091747 1.6555490001799136 0.6898602569322584
1.0750500502822886 1.3641719179986533 1.3026683973926385 0.09600427380649212 0.2781815760650635 2.428298293780325 0.5282901628425157 0.7086526884984362
1.3322073675488422 0.12093729034443519 1.3893636192098247 0.2026045963518252 0.7985929788754106 1.524102512016114 0.5341211863850824 0.08239423838672845
1.2315748980712362 0.05265003856689505 1.293315163909293 0.25084018235915956 0.57339355778707 1.41708486339747 0.6981664366587107 0.246427133208753
1.0923242698624869 0.42895112686215825 1.1258507339887367 0.441830611228437 0.08171192020452671 1.2602381071601385 0.10718068407138463 0.1953128093041839
1.2396539203469932 0.21999687520980052 1.3294533462864273 0.060183948842381194 0.3956394251971832 1.545016828169918 0.36279954860508706 0.45018216350167295
1.3114028217185643 0.1139132053087897 1.3287350642801359 1.0768168971083523 0.886604958018015 1.6901293458643565 1.0968777034080344 0.05308871583360221
