
0it [00:00, ?it/s]
622it [02:13,  1.96it/s, bound:293 nc:229 ncall:1.0e+05 eff:0.6% logz=23.48+/-0.12 dlogz:14.717>0.1]
630it [02:17,  1.95it/s, bound:297 nc:244 ncall:1.1e+05 eff:0.6% logz=23.68+/-0.12 dlogz:14.498>0.1]
638it [02:20,  2.09it/s, bound:302 nc:255 ncall:1.1e+05 eff:0.6% logz=23.87+/-0.12 dlogz:14.285>0.1]
646it [02:25,  1.99it/s, bound:309 nc:250 ncall:1.1e+05 eff:0.6% logz=24.06+/-0.12 dlogz:14.072>0.1]
654it [02:30,  1.85it/s, bound:317 nc:236 ncall:1.1e+05 eff:0.6% logz=24.28+/-0.12 dlogz:13.840>0.1]
661it [02:35,  1.73it/s, bound:323 nc:241 ncall:1.1e+05 eff:0.6% logz=24.46+/-0.12 dlogz:13.637>0.1]
669it [02:39,  1.80it/s, bound:329 nc:274 ncall:1.2e+05 eff:0.6% logz=24.66+/-0.12 dlogz:13.413>0.1]
677it [02:43,  1.83it/s, bound:337 nc:269 ncall:1.2e+05 eff:0.6% logz=24.85+/-0.12 dlogz:13.205>0.1]
685it [02:48,  1.73it/s, bound:345 nc:260 ncall:1.2e+05 eff:0.6% logz=25.03+/-0.12 dlogz:13.004>0.1]
693it [02:53,  1.71it/s, bound:353 nc:239 ncall:1.2e+05 eff:0.6% logz=25.21+/-0.12 dlogz:12.804>0.1]
701it [02:56,  1.86it/s, bound:359 nc:253 ncall:1.2e+05 eff:0.6% logz=25.38+/-0.12 dlogz:12.617>0.1]
709it [03:01,  1.85it/s, bound:367 nc:251 ncall:1.3e+05 eff:0.6% logz=25.54+/-0.12 dlogz:12.436>0.1]
716it [03:06,  1.71it/s, bound:375 nc:243 ncall:1.3e+05 eff:0.6% logz=25.67+/-0.12 dlogz:12.281>0.1]
724it [03:10,  1.73it/s, bound:382 nc:283 ncall:1.3e+05 eff:0.6% logz=25.83+/-0.12 dlogz:12.105>0.1]
732it [03:14,  1.86it/s, bound:389 nc:272 ncall:1.3e+05 eff:0.6% logz=25.97+/-0.12 dlogz:11.944>0.1]
740it [03:18,  1.84it/s, bound:396 nc:232 ncall:1.4e+05 eff:0.5% logz=26.11+/-0.12 dlogz:11.785>0.1]
748it [03:23,  1.79it/s, bound:401 nc:245 ncall:1.4e+05 eff:0.5% logz=26.24+/-0.12 dlogz:11.628>0.1]
756it [03:27,  1.85it/s, bound:406 nc:261 ncall:1.4e+05 eff:0.5% logz=26.38+/-0.12 dlogz:11.473>0.1]
764it [03:30,  2.02it/s, bound:414 nc:237 ncall:1.4e+05 eff:0.5% logz=26.51+/-0.12 dlogz:11.319>0.1]
772it [03:35,  1.86it/s, bound:421 nc:264 ncall:1.4e+05 eff:0.5% logz=26.64+/-0.12 dlogz:11.171>0.1]
780it [03:41,  1.71it/s, bound:429 nc:264 ncall:1.5e+05 eff:0.5% logz=26.78+/-0.12 dlogz:11.017>0.1]
788it [03:44,  1.80it/s, bound:437 nc:240 ncall:1.5e+05 eff:0.5% logz=26.91+/-0.12 dlogz:10.861>0.1]
796it [03:49,  1.75it/s, bound:445 nc:261 ncall:1.5e+05 eff:0.5% logz=27.04+/-0.12 dlogz:10.715>0.1]
804it [03:54,  1.70it/s, bound:451 nc:262 ncall:1.5e+05 eff:0.5% logz=27.16+/-0.12 dlogz:10.574>0.1]
