s_mu s_sigma
0.9494166236733074 0.6216293994354819
0.9460855506799276 0.7414738673346664
0.9512945310451904 0.7040783461661162
0.9353005791160958 0.7795353296943057
0.9388099987080334 0.5781014097442927
0.9495456965024194 0.6324381487903309
0.9164410580578856 0.823269355704383
0.917322941438354 0.517825353980378
0.9510836161384524 0.6536740348360018
0.9481935414628899 0.722288556930592
0.9512017177513551 0.6606444235528057
0.9409682595060027 0.5895431650249975
0.9305754585280165 0.553888440990418
0.9241516620573693 0.803431942745095
0.9307583959366511 0.555296508243247
0.940119835132375 0.5898984189855093
0.9164723837102696 0.8159753428302715
0.9483667133445306 0.6434162085417344
0.9318339572078137 0.7784345005354399
0.9439466633351792 0.7330627161517377
0.9205764305009986 0.806175029361547
0.9460108488755568 0.7198378919555668
0.9471043705917723 0.7115494229258469
0.941560253952648 0.5989769638604682
0.9479352312726608 0.7027500683210918
0.937990746925879 0.7569188600044843
0.920392951407394 0.5297875605512217
0.9478060561362953 0.6435941771844081
0.9200462388406381 0.8055615547053668
0.9308908166150581 0.5596741940273305
0.9105859758341214 0.5071733334912264
0.9086788333312513 0.8268422146888026
0.9468863519976285 0.6397549066675421
0.9096002762271361 0.5054055937598241
0.9050036378130536 0.49567196723481005
0.9422339828969489 0.7332123570998763
0.932172274726877 0.5659302466937376
0.9479822987345069 0.6722765383048502
0.9212930636755714 0.5339610879327534
0.9331518251541282 0.5702055492535311
0.9426453204875553 0.7276421605437995
0.9021408133950946 0.8356410528485241
0.9056421789329875 0.8283226840358552
0.9234031764485792 0.5412575325753781
0.9457117710307558 0.6983854451854115
0.9444491437931029 0.7074750375997291
0.9426074040467516 0.6183077542889788
0.9162968269714914 0.5238023864768102
0.9462966676227667 0.6717296726088627
0.9065972935416591 0.8240094795019741
0.94584257898988 0.6531230003275352
0.9283259943704057 0.774492220166088
0.9375903884977772 0.742339167369135
0.9456294441534981 0.6828279875774044
0.9023629090256321 0.493074041767551
0.942805813471037 0.7132163959398082
0.9311260016412026 0.5680734149273801
0.944666197254751 0.696099673592898
0.9242623714583733 0.7843942101386838
0.9433744504333175 0.7078505345056165
0.9027539092268605 0.826541346884314
0.9437230012250941 0.6937886565696052
0.9102315723532287 0.8125183133431301
0.9297329916203012 0.5663956809427931
0.9306709245918282 0.7600178769816954
0.9147876645758359 0.8014290060984558
0.9313086017644184 0.573913699804892
0.9438215272754229 0.6720601997250394
0.9422022722034659 0.7000105746227255
0.931554170264982 0.7551528669756701
0.9306936523303037 0.7579639324352251
0.9427547623735408 0.6411524618792503
0.914703815060149 0.7999649856014835
0.9158428403924596 0.5273292288993152
