
0it [00:00, ?it/s]
979it [00:28, 14.89it/s, bound:0 nc: 14 ncall:4.5e+03 eff:21.9% logz=24.21+/-0.14 dlogz:20.023>0.1]
982it [00:28, 14.72it/s, bound:0 nc: 33 ncall:4.5e+03 eff:21.7% logz=24.30+/-0.14 dlogz:19.922>0.1]
984it [00:29, 10.45it/s, bound:0 nc: 65 ncall:4.6e+03 eff:21.5% logz=24.36+/-0.14 dlogz:19.856>0.1]
986it [00:29, 11.50it/s, bound:0 nc: 24 ncall:4.6e+03 eff:21.4% logz=24.43+/-0.14 dlogz:19.788>0.1]
988it [00:29, 12.41it/s, bound:0 nc: 11 ncall:4.6e+03 eff:21.4% logz=24.49+/-0.14 dlogz:19.718>0.1]
990it [00:29, 13.31it/s, bound:0 nc: 25 ncall:4.7e+03 eff:21.3% logz=24.55+/-0.14 dlogz:19.650>0.1]
992it [00:29, 13.00it/s, bound:0 nc:  9 ncall:4.7e+03 eff:21.2% logz=24.61+/-0.14 dlogz:19.585>0.1]
995it [00:29, 14.45it/s, bound:0 nc: 12 ncall:4.7e+03 eff:21.1% logz=24.70+/-0.14 dlogz:19.488>0.1]
997it [00:29, 14.96it/s, bound:0 nc:  6 ncall:4.7e+03 eff:21.0% logz=24.77+/-0.14 dlogz:19.423>0.1]
999it [00:29, 15.31it/s, bound:0 nc: 16 ncall:4.8e+03 eff:21.0% logz=24.83+/-0.14 dlogz:19.354>0.1]
1001it [00:30, 13.71it/s, bound:0 nc: 34 ncall:4.8e+03 eff:20.8% logz=24.89+/-0.14 dlogz:19.288>0.1]
1003it [00:30, 10.60it/s, bound:0 nc: 46 ncall:4.9e+03 eff:20.6% logz=24.95+/-0.14 dlogz:19.225>0.1]
1005it [00:30,  9.64it/s, bound:0 nc: 21 ncall:4.9e+03 eff:20.4% logz=25.00+/-0.14 dlogz:19.164>0.1]
1007it [00:30, 10.73it/s, bound:0 nc: 10 ncall:4.9e+03 eff:20.4% logz=25.06+/-0.14 dlogz:19.104>0.1]
1010it [00:31, 12.54it/s, bound:0 nc: 15 ncall:5.0e+03 eff:20.3% logz=25.13+/-0.14 dlogz:19.017>0.1]
1013it [00:31, 14.96it/s, bound:0 nc: 14 ncall:5.0e+03 eff:20.3% logz=25.21+/-0.14 dlogz:18.932>0.1]
1015it [00:31, 13.69it/s, bound:0 nc: 13 ncall:5.0e+03 eff:20.2% logz=25.26+/-0.14 dlogz:18.876>0.1]
1021it [00:31, 20.01it/s, bound:0 nc: 12 ncall:5.1e+03 eff:20.2% logz=25.43+/-0.14 dlogz:18.697>0.1]
1026it [00:31, 22.92it/s, bound:0 nc: 10 ncall:5.1e+03 eff:20.2% logz=25.58+/-0.14 dlogz:18.533>0.1]
1029it [00:31, 23.05it/s, bound:0 nc:  4 ncall:5.1e+03 eff:20.1% logz=25.67+/-0.14 dlogz:18.437>0.1]
1033it [00:31, 25.17it/s, bound:0 nc:  1 ncall:5.1e+03 eff:20.1% logz=25.79+/-0.14 dlogz:18.307>0.1]
