mu1 sigma1 mu2 sigma2 alpha
1.3409117936819204 0.030171639774363025 1.5674307936206135 0.28243036888228706 0.27711095857432544
1.389165391097002 0.12777184005676667 1.889259098504422 0.28102374647127704 0.7898489482482806
1.3498195790862306 0.04166803076205745 1.6064890714101563 0.42437565750989525 0.5893435929914124
1.3111948210017452 0.08927336935985605 1.5068175881700856 0.24107475966493588 0.7852710322033757
1.387053435870559 0.14226770385350654 1.9216782841152902 0.1936708839412179 0.8556400051681727
1.3579424657487387 0.04263865611134753 1.6809553046122796 0.24931867187262763 0.5230084971681819
1.339613405280383 0.04308579046325273 1.468370646549939 0.2015517138860824 0.6559754940329418
1.3613455011892073 0.07858019450355867 1.4624561701087961 0.35487641041296925 0.8200291973063736
1.3692193360166205 0.07587723014028717 1.6514642846164713 0.4105322757824152 0.5561945291664494
1.3838545712413577 0.10210778989279562 1.772773736886903 0.4285147544274207 0.7686201515685148
1.3122415621119894 0.06545942177787178 1.418688375201374 0.3322243333343512 0.5176063364554822
1.3113213960043133 0.08562192815083589 1.503851271517528 0.23734942242756354 0.7800639235242923
1.3014846013923322 0.07295985524979981 1.5114734853508893 0.3396448942880603 0.4750132001737663
1.3814671962717529 0.08096915774507606 1.927459208912 0.2141209863819107 0.7252179089898718
1.3168473348745895 0.043473586070729535 1.5216622712827876 0.39674697449886953 0.617052512527427
1.364788385157491 0.09219804939025586 1.850432226235021 0.4889408385449123 0.7745941684987286
1.3317628593532511 0.10106658492181674 1.9711680203166897 0.19625272792387585 0.8960251712961285
1.33410696662455 0.0417154667492319 1.704010881671591 0.3225471359208806 0.45704372537194027
1.3664857345468435 0.10982705919616234 1.5018871088189212 0.23935354370412693 0.6877006899325612
1.3221868209409195 0.12902014475563828 1.7544734216014912 0.24427174015735442 0.7635103060668672
1.3807482005280112 0.12301244454402344 1.570534272431142 0.2685499005999629 0.7132874561703281
1.3846273559746776 0.11430568395156143 1.710656853253817 0.29086152625029205 0.8917146376061482
1.3634519150757112 0.07262697596467499 1.549621529622442 0.4236442297800065 0.5620154704936847
1.30691422259739 0.04130922465003486 1.4676402146102083 0.2279183344411424 0.6048368943812736
1.3204692098451827 0.10271873702713076 1.7483038603053616 0.3320081440990495 0.5979341004446773
1.3300478507709803 0.09624518323571488 1.9888657467718094 0.18781440064873806 0.8654318108048286
1.3594341267704058 0.07116691540984599 1.46395956799411 0.3424566507910569 0.805803248966476
1.3381108241020883 0.07754970690966748 1.577212520356899 0.48419499952074024 0.6121223928184215
1.3348002427839885 0.021397930317081662 1.4886515738626138 0.2627010159260505 0.2393036720836926
1.3492547204899399 0.05467156164078328 1.518702849246934 0.432208735398605 0.5403276992369734
1.404435897240646 0.11492741722657965 1.7672532961976715 0.16602554047920878 0.8295625362227204
1.2907416869113442 0.05468139769537403 1.482010365925135 0.2600297600565122 0.566511067121987
1.3892198748254518 0.11260605750978717 1.763921491114272 0.13723183225224575 0.7219097725293229
1.3416357382829074 0.10909486005022487 1.7723783946178808 0.34098494718349537 0.6303334349293308
1.315115543212107 0.08942964161973989 1.5616108671906286 0.3784494477708213 0.5676614310975079
1.3639661139036696 0.1063181046951689 1.5055425013881032 0.29924166884274517 0.5688249258108421
1.3661439636842794 0.11364321245483967 1.5723186988131943 0.28154291213455945 0.5588715539998532
1.3346412073593392 0.07920933300962192 1.909828159182724 0.2855848243965611 0.6030106732987918
1.284758696650588 0.07277959715487498 1.719641947089627 0.2048873449067985 0.7709002972606672
1.3430241307253705 0.02552303687547399 1.5031981459233807 0.2084674756290939 0.2513147943222775
1.3405315426661675 0.07253900820218256 1.8647550068385526 0.5098315647531978 0.7719530670771616
1.3578972309485389 0.07310614046822912 1.7130104756813025 0.33887687081716944 0.4951055886237604
1.343687442009265 0.12651531089786103 1.720415938123813 0.2506748306311349 0.6659087481365444
1.3345356851573056 0.10716490859070746 1.520113945677227 0.32061101968140254 0.5894792674055945
1.361218026677629 0.0965703892490534 1.9282448842854336 0.06298616003073 0.8598709314666201
1.3670493286657293 0.11930655249793226 1.8696279749972733 0.1509730039898287 0.9400826557249626
1.3398567300473156 0.09787616892964986 1.6664327396406136 0.46396757890847673 0.7682839681023882
1.347914170326573 0.06455665032335949 1.6677101645760404 0.2825966878614743 0.41201981141783706
1.3923242443425448 0.11434973077359545 1.7323948013194697 0.27603806766533234 0.7217484923483883
1.351218087664517 0.11709009097353391 1.5581482570218599 0.24249537167981627 0.7722617853375466
1.3140520983361763 0.04116533357050553 1.6890814862533872 0.3410084576595538 0.5757351442536163
1.3456152151717038 0.11665584927766474 1.7808335541422822 0.2825018740189863 0.6547304759930044
1.327420998577313 0.09279671718383183 1.5215877844978154 0.2114196845179283 0.4224533893808668
1.3670846099273404 0.06298769914577786 1.7352261583110564 0.3276616626096915 0.8357219447267797
1.3797715026938009 0.11567909721075735 1.673902089860737 0.30059273548591403 0.8616717074753713
1.3153885670127936 0.0831161449590117 1.698687001238415 0.4216922545112636 0.7980020692950189
1.321322059940504 0.06832922396670521 1.7384574968267212 0.47855460490228946 0.6701280679499475
1.3906999669163964 0.11032629834568565 1.7652562995248853 0.21462567872446428 0.7025006429673742
1.3680787427358663 0.05830025561752207 1.5451929861494689 0.19638653224217756 0.6298063882521138
1.297816860020451 0.05505714019977262 1.526194510542622 0.22434252785604564 0.7129209093136735
1.3655252593588412 0.12886945322606996 1.8111858155325087 0.25575145581394115 0.875227258242456
1.3867920846483808 0.13555381847577957 1.89090557781957 0.10307153191475167 0.8313235562747828
1.3516100424046005 0.05297772301943669 1.6376636127170632 0.39566923324013736 0.7856584598789959
1.3071240851418082 0.0676992224195572 1.8454468596766798 0.36144849110750016 0.6895777960438828
1.3426973628593988 0.1054973232683218 1.5964575971845578 0.36468598232011223 0.6157674258219094
