mu1 sigma1 mu2 sigma2 alpha
0.9406699384903968 0.8997266479248212 1.3895546640104763 0.07656331378555847 0.340964205733227
1.3831719663299604 0.13249645023694095 1.4411021853943475 0.9857585342291662 0.7747669700937164
1.3743302005836522 0.10424351519461827 1.727543806325222 0.7989916564516116 0.6399754500403162
1.1994671604865579 1.7476977376987446 1.3739183990448482 0.12499838333403537 0.19792749266066453
1.1994671604865579 1.7476977376987446 1.3739183990448482 0.12499838333403537 0.19792749266066453
1.3458440721929392 0.11641911261773995 1.4937461129494398 1.3631518535217069 0.7886919196327447
1.3679745155319554 0.09807266804207948 2.426215380765381 1.309248631847519 0.7469902913250991
1.324139212491692 0.08320091658063773 1.8987954990643712 0.861622451186807 0.8126855433721495
1.358806909846297 0.06803364128239059 1.6416807858135438 1.3274417738610629 0.7223491804024501
1.3760321351701796 0.7296690125146863 1.3857694014712936 0.12325975790642553 0.08924566990893644
1.0883709384569422 1.778165388108209 1.3468413765953928 0.07359947422669134 0.31520745767966774
1.4051908560645057 0.6398875876208389 1.4097246817327802 0.10638633757374147 0.2909450264776827
1.359845388469032 0.10127501343319362 1.3759859995573143 1.281353093412037 0.6977851977715565
1.3749705068757838 0.10528834437951867 1.7889068245185133 0.16822064914577206 0.9752043277804859
1.270858369698953 0.9736741589172752 1.3243033432019038 0.0760438311535954 0.22149095627718204
1.3377828883333245 0.07115097790960176 1.703852079310153 1.0218746049872516 0.6893342582789257
1.3203294106226928 0.10704340122164759 1.5459383235900668 0.5995939481149211 0.8236162372991304
1.342889047116862 0.08034635767994239 2.0104922618881953 0.6331615839933437 0.6627184314753755
1.3150661681793816 0.08936217680881386 1.8276929379177314 0.5277729047647579 0.654976200420482
1.0507595848183573 1.3440524252723505 1.3412172584981294 0.0714784712492719 0.2986238100828633
1.3056132886304814 0.0845749715765296 1.3586600240869553 0.3670474512516198 0.5128423782653468
1.3726251261588664 0.694341523107314 1.38108303366947 0.12780093069019857 0.1324455344415063
1.2215056806924827 1.2692065192710615 1.3581788996413253 0.07258689554460154 0.29785026509150236
1.3447138576038546 0.16761749947419172 1.9625533621647517 0.12910474363222063 0.8989629230749394
1.355937981330154 0.08675286159510687 1.6128495597395416 1.7179381396781799 0.7767659258328614
1.3493775880624166 0.06170896248153793 2.0306256143293746 0.3450975427532652 0.7739082220410817
1.3585616908084892 0.08488321120603325 1.8703882802631449 0.8425602857766015 0.686575543538252
0.9086747135671427 1.5523140195556817 1.364741188058961 0.09190624995970947 0.1522229349930692
1.4028682502308039 0.07310957571084004 1.4599725179043739 0.2723072140165297 0.5338534020974792
1.3687814789378956 0.0817921011569664 1.556708221262629 0.6811633339172342 0.5964479844969587
1.3786756629079986 0.12308233496096281 2.094171632733671 0.4737817491337939 0.8125529496682998
1.3688510358349342 0.10979115361625494 1.5213065843181024 0.6492215429641077 0.6517914850381944
1.308922456134611 0.09551822765490504 1.5813687691787983 0.36762465960146823 0.4576197478960297
1.0566800813523283 0.661695394891677 1.3463130308007205 0.0663958198749988 0.4292359997597196
1.4002556811449285 0.08545535307867481 1.8089891515211718 0.43031198795269027 0.8002978075476512
1.3765866501168107 0.09879786733862392 2.083772901028535 0.7419657937415375 0.8129234388890673
1.3693595487154706 0.1277358179497472 2.0129165032048086 0.3937780467726657 0.7741510330004745
1.3487252740682512 0.3066642624098138 1.357066189451392 0.09231085011328347 0.4681505826895974
1.37194860535883 0.07106320511609046 1.6632196676497855 0.4318653187672668 0.5007052330112453
1.393870170842551 0.08589459804929708 1.779457514822706 0.3629074278444441 0.6275210733409049
1.3974138924292023 0.13562586792038678 1.7916374920523945 0.26769329220045973 0.6913481974974995
1.380480493024066 0.07982329872213323 1.4932359245883968 0.6865287707003535 0.6869079138984686
1.3024615068997998 0.09898043884940143 1.9099051126206916 0.20431041966285796 0.8566966353990582
1.3480914916493254 0.10161001490734475 1.7442500435096588 0.8428918304770937 0.7864110740843694
1.3181593843200157 0.08855246340186285 1.5510245766850237 0.16242054595701758 0.7248584693239754
1.3448711613512025 0.09147374805938512 1.4075306376853294 0.4392153273270724 0.8798538296057462
1.38257564696579 0.115087879578598 1.4539579276155075 0.35236648649043617 0.5262493490464161
1.3469995665937877 0.06780238146506715 1.5501902631332447 0.842452082079591 0.7660144134966786
1.2776381966253996 0.07016828478595197 1.6645782670699187 0.22722351553135725 0.5065895892773205
1.3675997187743651 0.12354063162020161 1.7286764919144637 0.22507369025762158 0.566362129868758
1.3404646566077263 0.08165192801448223 1.5467752967834563 0.8565345851728295 0.8206443030015464
1.3348122626333336 0.11311923684090178 1.4891704696564898 0.5021830399295991 0.8301999647780288
1.2788043263216422 1.1038327441788212 1.3599826819283152 0.08395365703923567 0.20527706803518195
