
0it [00:00, ?it/s]
826it [00:28, 13.53it/s, bound:0 nc: 13 ncall:6.1e+03 eff:13.6% logz=11.19+/-0.13 dlogz:34.984>0.1]
830it [00:28, 15.70it/s, bound:0 nc: 38 ncall:6.2e+03 eff:13.5% logz=11.32+/-0.13 dlogz:34.849>0.1]
832it [00:28, 16.44it/s, bound:0 nc: 25 ncall:6.2e+03 eff:13.5% logz=11.38+/-0.13 dlogz:34.783>0.1]
835it [00:28, 18.41it/s, bound:0 nc: 18 ncall:6.2e+03 eff:13.4% logz=11.46+/-0.13 dlogz:34.688>0.1]
837it [00:28, 17.32it/s, bound:0 nc:  6 ncall:6.3e+03 eff:13.3% logz=11.52+/-0.13 dlogz:34.624>0.1]
841it [00:29, 14.74it/s, bound:0 nc: 80 ncall:6.4e+03 eff:13.2% logz=11.65+/-0.13 dlogz:34.493>0.1]
846it [00:29, 20.14it/s, bound:0 nc:  6 ncall:6.4e+03 eff:13.2% logz=11.80+/-0.13 dlogz:34.324>0.1]
849it [00:29, 17.84it/s, bound:0 nc:  3 ncall:6.5e+03 eff:13.1% logz=11.89+/-0.13 dlogz:34.226>0.1]
852it [00:29, 17.89it/s, bound:0 nc: 19 ncall:6.5e+03 eff:13.0% logz=11.98+/-0.13 dlogz:34.133>0.1]
855it [00:29, 18.28it/s, bound:0 nc: 21 ncall:6.6e+03 eff:13.0% logz=12.06+/-0.13 dlogz:34.043>0.1]
859it [00:29, 21.83it/s, bound:0 nc: 15 ncall:6.6e+03 eff:13.0% logz=12.17+/-0.13 dlogz:33.926>0.1]
862it [00:30, 16.22it/s, bound:0 nc:  8 ncall:6.7e+03 eff:12.8% logz=12.25+/-0.13 dlogz:33.836>0.1]
864it [00:30, 15.81it/s, bound:0 nc: 22 ncall:6.8e+03 eff:12.7% logz=12.30+/-0.13 dlogz:33.776>0.1]
866it [00:30, 15.19it/s, bound:0 nc: 15 ncall:6.8e+03 eff:12.7% logz=12.36+/-0.13 dlogz:33.715>0.1]
868it [00:30, 13.20it/s, bound:0 nc: 67 ncall:6.9e+03 eff:12.6% logz=12.41+/-0.13 dlogz:33.656>0.1]
870it [00:30, 13.24it/s, bound:0 nc: 44 ncall:7.0e+03 eff:12.5% logz=12.47+/-0.13 dlogz:33.595>0.1]
872it [00:31, 13.98it/s, bound:0 nc: 32 ncall:7.0e+03 eff:12.5% logz=12.53+/-0.13 dlogz:33.530>0.1]
875it [00:31, 16.54it/s, bound:0 nc: 10 ncall:7.0e+03 eff:12.5% logz=12.62+/-0.13 dlogz:33.434>0.1]
878it [00:31, 16.34it/s, bound:0 nc: 26 ncall:7.1e+03 eff:12.4% logz=12.71+/-0.13 dlogz:33.340>0.1]
880it [00:31, 15.44it/s, bound:0 nc: 15 ncall:7.1e+03 eff:12.3% logz=12.76+/-0.13 dlogz:33.277>0.1]
882it [00:31, 14.13it/s, bound:0 nc:  5 ncall:7.2e+03 eff:12.3% logz=12.82+/-0.13 dlogz:33.216>0.1]
886it [00:31, 16.93it/s, bound:0 nc: 31 ncall:7.3e+03 eff:12.2% logz=12.93+/-0.13 dlogz:33.096>0.1]
889it [00:31, 19.00it/s, bound:0 nc:  9 ncall:7.3e+03 eff:12.2% logz=13.01+/-0.13 dlogz:33.008>0.1]
891it [00:32, 18.73it/s, bound:0 nc: 27 ncall:7.3e+03 eff:12.2% logz=13.06+/-0.13 dlogz:32.952>0.1]
894it [00:32, 20.64it/s, bound:0 nc: 26 ncall:7.4e+03 eff:12.1% logz=13.13+/-0.13 dlogz:32.871>0.1]
897it [00:32, 22.68it/s, bound:0 nc:  5 ncall:7.4e+03 eff:12.1% logz=13.20+/-0.13 dlogz:32.790>0.1]
900it [00:32, 23.73it/s, bound:0 nc: 10 ncall:7.4e+03 eff:12.1% logz=13.28+/-0.13 dlogz:32.707>0.1]
903it [00:32, 18.17it/s, bound:0 nc: 21 ncall:7.5e+03 eff:12.0% logz=13.37+/-0.13 dlogz:32.614>0.1]
