
0it [00:00, ?it/s]
1232it [00:11, 21.81it/s, bound:0 nc:  7 ncall:8.8e+03 eff:14.0% logz=22.71+/-0.14 dlogz:17.197>0.1]
1235it [00:11, 21.95it/s, bound:0 nc: 14 ncall:8.9e+03 eff:13.9% logz=22.76+/-0.14 dlogz:17.144>0.1]
1238it [00:11, 23.30it/s, bound:0 nc: 11 ncall:8.9e+03 eff:13.9% logz=22.80+/-0.14 dlogz:17.092>0.1]
1241it [00:11, 22.20it/s, bound:0 nc:  1 ncall:8.9e+03 eff:13.9% logz=22.85+/-0.14 dlogz:17.041>0.1]
1246it [00:12, 17.70it/s, bound:0 nc: 81 ncall:9.0e+03 eff:13.8% logz=22.92+/-0.14 dlogz:16.957>0.1]
1249it [00:12, 17.50it/s, bound:0 nc: 37 ncall:9.1e+03 eff:13.7% logz=22.96+/-0.14 dlogz:16.907>0.1]
1251it [00:12, 16.92it/s, bound:0 nc: 34 ncall:9.1e+03 eff:13.7% logz=22.99+/-0.14 dlogz:16.873>0.1]
1253it [00:12, 16.24it/s, bound:0 nc: 35 ncall:9.2e+03 eff:13.7% logz=23.02+/-0.14 dlogz:16.839>0.1]
1257it [00:13, 16.46it/s, bound:0 nc: 43 ncall:9.2e+03 eff:13.6% logz=23.07+/-0.14 dlogz:16.774>0.1]
1262it [00:13, 20.09it/s, bound:0 nc: 24 ncall:9.3e+03 eff:13.6% logz=23.14+/-0.14 dlogz:16.693>0.1]
1265it [00:13, 18.17it/s, bound:0 nc:  2 ncall:9.3e+03 eff:13.5% logz=23.18+/-0.14 dlogz:16.646>0.1]
1268it [00:13, 13.56it/s, bound:0 nc: 70 ncall:9.4e+03 eff:13.4% logz=23.22+/-0.14 dlogz:16.599>0.1]
1271it [00:14, 12.90it/s, bound:0 nc: 84 ncall:9.6e+03 eff:13.3% logz=23.26+/-0.14 dlogz:16.552>0.1]
1274it [00:14, 14.84it/s, bound:0 nc: 24 ncall:9.6e+03 eff:13.3% logz=23.30+/-0.14 dlogz:16.506>0.1]
1277it [00:14, 16.85it/s, bound:0 nc:  5 ncall:9.6e+03 eff:13.3% logz=23.33+/-0.14 dlogz:16.460>0.1]
1280it [00:14, 17.90it/s, bound:0 nc: 25 ncall:9.7e+03 eff:13.2% logz=23.37+/-0.14 dlogz:16.415>0.1]
1283it [00:14, 18.18it/s, bound:0 nc: 11 ncall:9.7e+03 eff:13.2% logz=23.41+/-0.14 dlogz:16.370>0.1]
1286it [00:14, 19.93it/s, bound:0 nc:  3 ncall:9.7e+03 eff:13.2% logz=23.44+/-0.14 dlogz:16.327>0.1]
1290it [00:14, 23.06it/s, bound:0 nc: 16 ncall:9.8e+03 eff:13.2% logz=23.49+/-0.14 dlogz:16.269>0.1]
1293it [00:15, 16.63it/s, bound:0 nc: 20 ncall:9.8e+03 eff:13.1% logz=23.53+/-0.14 dlogz:16.226>0.1]
1296it [00:15, 14.40it/s, bound:0 nc: 51 ncall:9.9e+03 eff:13.1% logz=23.56+/-0.14 dlogz:16.183>0.1]
1298it [00:15, 10.66it/s, bound:0 nc: 41 ncall:1.0e+04 eff:13.0% logz=23.59+/-0.14 dlogz:16.154>0.1]
1301it [00:15, 12.57it/s, bound:0 nc: 22 ncall:1.0e+04 eff:12.9% logz=23.62+/-0.14 dlogz:16.111>0.1]
1303it [00:16, 12.93it/s, bound:0 nc: 27 ncall:1.0e+04 eff:12.9% logz=23.65+/-0.14 dlogz:16.083>0.1]
1306it [00:16, 14.53it/s, bound:0 nc: 36 ncall:1.0e+04 eff:12.9% logz=23.68+/-0.14 dlogz:16.041>0.1]
1308it [00:16, 14.97it/s, bound:0 nc:  1 ncall:1.0e+04 eff:12.8% logz=23.70+/-0.14 dlogz:16.012>0.1]
1310it [00:16, 11.97it/s, bound:0 nc:  5 ncall:1.0e+04 eff:12.8% logz=23.73+/-0.14 dlogz:15.984>0.1]
1312it [00:16, 12.33it/s, bound:0 nc: 14 ncall:1.0e+04 eff:12.8% logz=23.75+/-0.14 dlogz:15.957>0.1]
1314it [00:16, 10.99it/s, bound:0 nc: 19 ncall:1.0e+04 eff:12.7% logz=23.77+/-0.14 dlogz:15.929>0.1]
1316it [00:17, 10.51it/s, bound:0 nc: 29 ncall:1.0e+04 eff:12.7% logz=23.79+/-0.14 dlogz:15.902>0.1]
1318it [00:17,  8.25it/s, bound:0 nc: 36 ncall:1.0e+04 eff:12.6% logz=23.81+/-0.14 dlogz:15.875>0.1]
1319it [00:17,  8.01it/s, bound:0 nc: 22 ncall:1.0e+04 eff:12.6% logz=23.83+/-0.14 dlogz:15.862>0.1]
1321it [00:17,  9.07it/s, bound:0 nc: 26 ncall:1.1e+04 eff:12.6% logz=23.85+/-0.14 dlogz:15.836>0.1]
1322it [00:18,  6.76it/s, bound:0 nc: 85 ncall:1.1e+04 eff:12.5% logz=23.86+/-0.14 dlogz:15.823>0.1]
1323it [00:18,  7.00it/s, bound:0 nc: 33 ncall:1.1e+04 eff:12.4% logz=23.87+/-0.14 dlogz:15.810>0.1]
1324it [00:18,  6.22it/s, bound:0 nc: 59 ncall:1.1e+04 eff:12.4% logz=23.88+/-0.14 dlogz:15.797>0.1]
1327it [00:18,  8.11it/s, bound:0 nc: 51 ncall:1.1e+04 eff:12.3% logz=23.91+/-0.14 dlogz:15.758>0.1]
