mlo mup beta
1.1813403790166284 2.390281676264158 5.107521952926685
1.1766627637678158 1.9681633354581416 2.7551035187622954
1.1717669316925725 1.9906582782925686 8.88137665806577
1.1809253033250164 1.9379461037141 3.877193793260128
1.1553533976403036 2.260981108161363 6.99268920968119
1.1789583784563338 2.2348318179263122 4.202059407959222
1.167541597254603 1.9466713303578183 7.79713074979254
1.1567840008147512 2.128398351910413 3.6556676683579656
1.1728186906816525 2.8819298434924088 4.97729019654949
1.1745474484767744 1.904555930456103 7.175434344469146
1.1482362423717383 1.956791282915343 4.562203831637808
1.1830734360201653 2.6214844700201834 8.091853352408092
1.1724610967335796 2.8899599616268707 4.988020790022366
1.163241302723032 2.015849196545439 2.6923661034741766
1.16087865198886 2.294246919550258 7.798924408287169
1.1625920416632876 2.277357795807241 4.19074230877586
1.1809520038962937 2.461133153692808 5.279538346163189
1.1658670723157696 2.777179044777291 8.310800939212267
1.1821909706606522 2.8200269389386765 8.213996918298049
1.1792993528889326 2.2719421466220338 9.043351320286776
1.1577122417496262 2.1109599263297447 7.52121755716818
1.159133143869607 2.8313285963351347 5.8775697277739045
1.1477058483510394 1.965714941826831 4.731597750239851
1.181606863086412 2.7102921243328346 8.362080625874187
1.1802608226622409 1.9811199256563923 8.464168428084873
1.1620772182022958 2.096972605339831 8.09593588548296
1.1675207647628945 1.9390617311509029 7.531266624196245
1.1806003664137217 2.0867886380666216 8.95154599793715
1.1610640194017585 2.8982480015573566 7.421119614135854
1.158483965306798 2.753285616290072 6.7718637474143115
1.182313207705285 2.8449162524930403 8.125862536265544
1.1513164009614743 2.0914671486043224 6.6109392859166505
1.179253521824482 2.1043204324025564 9.11398798536548
1.1663119235390114 2.5280347975138278 8.380519798682519
1.1518897602452824 2.2633731848594976 5.711258896616519
1.1720830458821954 1.9214716959790232 7.5414132752558665
1.185873866852129 2.053058363344877 5.617898283511
1.1583151451272342 2.7653828063880423 6.495955286735235
1.155950302040135 2.404285192948433 5.511340840665515
1.16152078600267 1.9114620324996916 3.770290043115059
1.1692302903945213 2.3073439156301228 8.777899563855513
1.1825577557774056 2.783523722506362 6.397820828624056
1.1575352928845428 2.313148382297568 7.0706097276550395
1.1583180799628663 2.7311004155606957 6.350913252331397
1.1662532799512917 2.3352336083525262 4.33191313897583
1.1629195030740576 1.9391313047600043 6.814285675091236
1.1679484734678187 2.1365276433954357 3.378983428303872
1.160956671113928 1.9159622336816724 3.718972406118585
1.1830689447512759 2.613958549924385 7.74465857893586
1.1829905249182826 2.3449497323480726 5.7013425110982485
1.164243212578775 2.6963023479202284 7.935976362227915
1.1617836859627695 2.887915428101376 7.382379086202004
1.161070501437404 2.873618558571242 7.2156432079849715
1.1628727929435922 2.019219355922752 7.968455245643337
1.153214206397605 2.268399054358304 5.820200487785504
1.180484273023138 2.766610313883318 8.506600005676551
1.1766494054567398 2.598210775909398 8.985526485492676
1.1616758184997529 2.060245625235245 7.922815423341881
1.1449916148602675 2.023270336593079 5.065132278813019
1.1675525568111675 2.5125975623169228 4.788337531953125
1.1582614674006637 2.4183515269290523 5.3443466710617376
