mu1 sigma1 mu2 sigma2 alpha mu3 sigma3 beta
1.037529223140125 0.8502542604759356 1.3093048020076754 0.05227961460967268 0.3989518035626059 1.655393131405284 0.40816732204549816 0.43819555953150113
1.34660049385021 0.11291945440790892 1.8604083157310316 0.43631654373379714 0.7191292062328262 2.197075776416767 1.6398699207207892 0.08734796530303371
1.3158692304403945 0.08603229347133902 1.3920438653949936 0.21323269666939657 0.3331337465446367 2.214866410948425 1.826327174942004 0.5555575743132838
1.3460326142681336 0.09105946425889447 1.3666469747534038 0.41695953142292197 0.5080320867385013 1.6102267447493277 0.7256432249275124 0.26163977158365226
1.2769808535751095 1.722756397982605 1.3119735750043948 0.06506648104994038 0.3896797531665709 1.3520120901627708 0.04841319150569796 0.23619533121171685
1.2296705375874128 1.256788629723943 1.3144441646988638 0.10590777006821912 0.01711795724767915 1.6530241591146901 1.5386417222083797 0.7561101467955067
1.2954557521466175 0.06594536003972655 1.334680306615424 1.047339458351726 0.8920890063759821 1.933234982753115 0.05726797480610279 0.012875435181151165
1.0675107726825501 1.362080008891308 1.3533928682051433 0.05581565933097819 0.2964115798312993 2.0181015013060177 0.5262538834634721 0.6736435087453606
1.3159448508139113 0.09449483369088459 1.9187575444079905 1.4914968901679944 0.7133551642559528 2.151784469609518 1.597668849806687 0.0754775130230591
1.3106459068298177 0.07811621230194894 1.3558478434490375 0.02153206776168448 0.5264807068710354 2.8675483798684906 1.256800674781374 0.31847528471416947
1.3512846555162188 0.07125421938977829 1.5418822420693044 1.4945413822038067 0.9085543069240071 2.758452397051834 0.5450664569102707 0.0627606195163999
1.2610711279102444 0.045377339735277855 1.3629319233901975 0.21302678537270084 0.5807384200523059 1.7639969740864063 0.222620174352106 0.23977986533057405
1.3784998870287217 0.12215333738259383 1.5173264913686801 0.36682115676356164 0.8916482226246364 2.6670501133520643 1.8487863319366822 0.0757666942052424
1.3604542738476009 0.10109725199025707 2.1069274293275115 0.8120088361586416 0.7943747321724505 2.794449200431759 0.5208022775848853 0.16717518550717222
1.1991444134761458 1.4366950015223887 1.2988419171548338 0.0942759583773774 0.1946897541251501 1.3744779269462977 0.5301775104215883 0.6644824743149609
1.326711466582186 0.04741352264542227 2.0167961752806494 1.5306065953226018 0.8268996582965126 2.1371706776168726 0.3686786146059183 0.1536250860067695
0.9166487149845941 1.1129645958585321 1.312970390552966 0.053428731728578795 0.2586396950710839 2.19557877191066 0.06608161633968763 0.6798281068613896
1.1998731808179928 0.5940831506527047 1.3704308816162722 0.07765192767652562 0.363623413939333 1.8210358443581818 0.2901339279353223 0.5638780925026471
1.3513732019853204 0.07661026753000405 1.549857758159905 0.12190883668255947 0.7072968629679438 2.7018248154930475 1.4071982877667077 0.2759502240171755
1.10553700059802 0.6329751036839308 1.2974111612951829 0.10461758391449417 0.16155932568327305 1.3592858260216896 0.19104320453340595 0.7378704400116011
1.122724213850707 1.210505670927632 1.3623408208521297 0.10198076532152289 0.21455225481228055 2.8347546141634536 1.0226793824217368 0.7566135800450889
1.358321259880328 0.07286139936144202 2.035042894100889 0.8685132660048768 0.9266307658492181 2.169204818401244 0.34289289651079313 0.040723435932337085
1.3032651367378763 0.06761576658593196 1.4469094027934122 0.03131119986543509 0.5845146383916187 1.7678088991364573 1.1429269805124167 0.2715694095389179
1.273300434234633 0.07365650421827849 1.6406703945739047 0.3019382415578984 0.5286129546816232 2.014106652016059 0.9927845219315754 0.38169362471371043
1.284525378688659 1.1202978162356916 1.3238540869589095 0.055172558212855285 0.16788798608146663 2.1203522303348556 1.5244182803491566 0.6263322715818816
1.2449155518529942 0.8793307946642941 1.3293930127848805 0.04750822017027108 0.07597166857155213 1.5710712530942894 1.4288519504479695 0.6516507976541811
1.1058168620508424 1.6292908635254102 1.3291348566649588 0.08383729771217302 0.09199488158013953 1.3638679245358623 0.0670186071585244 0.23465152907859532
1.1962167820251874 1.148903225011965 1.3295857742904416 0.05504186696703428 0.1140704211458166 2.48212566664192 1.4969372139772523 0.6657038078942006
1.1562067040744683 0.5068116741601808 1.3598896540333132 0.0769935233667879 0.35388853339167325 1.6000965081908505 0.4820593566848012 0.5222085092212787
1.2827336835875707 0.046463272713337105 1.4139970851090693 0.1432480560001266 0.5112170491970949 1.4210499255197213 0.5751931342600579 0.07459563979813966
1.3363273376224183 0.05855169408120908 1.3466303365560957 0.6884520743691364 0.6538921634732761 1.9270040499407566 1.4806364367714844 0.03508983922474628
1.2802425636242523 0.03777120016394636 1.432383330953965 0.14278881631042425 0.360890242731494 2.2391602280459892 1.8174722123128362 0.5028426773004476
1.0399539800024233 0.7911369747921584 1.340920900611571 0.08857101933886212 0.40627801409857744 1.7227417748778788 1.7138628932219346 0.5831078106539319
1.365674746029324 0.08002883473494267 1.4188777705622728 0.3973235624935845 0.5026875366576774 1.5655691888513044 0.18060150712064352 0.07004629803434431
1.334950700125368 0.07685933461819623 2.0260250167278535 0.3342438889497156 0.7738611803953624 2.4806222145008165 0.013072393876449042 0.13469237521981908
1.3199567187328753 0.11169523272524791 1.3407634100733379 0.7600688279505047 0.7865751964542711 1.5450881892754649 1.533852873053997 0.11790672113421048
