
0it [00:00, ?it/s]
974it [10:57,  1.15it/s, bound:325 nc:145 ncall:9.9e+04 eff:1.0% logz=45.48+/-0.12 dlogz:7.984>0.1]
981it [10:59,  1.35it/s, bound:329 nc:134 ncall:1.0e+05 eff:1.0% logz=45.55+/-0.12 dlogz:7.893>0.1]
982it [11:07,  1.10s/it, bound:329 nc:177 ncall:1.0e+05 eff:1.0% logz=45.56+/-0.12 dlogz:7.880>0.1]
990it [11:14,  1.03s/it, bound:333 nc:153 ncall:1.0e+05 eff:1.0% logz=45.64+/-0.12 dlogz:7.778>0.1]
998it [11:21,  1.01it/s, bound:337 nc:155 ncall:1.0e+05 eff:1.0% logz=45.72+/-0.12 dlogz:7.677>0.1]
1006it [11:29,  1.04it/s, bound:341 nc:139 ncall:1.0e+05 eff:1.0% logz=45.80+/-0.12 dlogz:7.579>0.1]
1014it [11:37,  1.04it/s, bound:345 nc:179 ncall:1.0e+05 eff:1.0% logz=45.88+/-0.12 dlogz:7.479>0.1]
1022it [11:44,  1.05it/s, bound:349 nc:166 ncall:1.1e+05 eff:1.0% logz=45.96+/-0.12 dlogz:7.379>0.1]
1030it [11:52,  1.05it/s, bound:353 nc:157 ncall:1.1e+05 eff:1.0% logz=46.04+/-0.12 dlogz:7.283>0.1]
1038it [11:59,  1.04it/s, bound:357 nc:161 ncall:1.1e+05 eff:1.0% logz=46.11+/-0.12 dlogz:7.189>0.1]
1046it [12:08,  1.02it/s, bound:361 nc:171 ncall:1.1e+05 eff:1.0% logz=46.18+/-0.12 dlogz:7.098>0.1]
1054it [12:16,  1.00it/s, bound:365 nc:172 ncall:1.1e+05 eff:0.9% logz=46.25+/-0.12 dlogz:7.009>0.1]
1062it [12:24,  1.01s/it, bound:369 nc:162 ncall:1.1e+05 eff:0.9% logz=46.32+/-0.12 dlogz:6.922>0.1]
1069it [12:32,  1.05s/it, bound:373 nc:154 ncall:1.1e+05 eff:0.9% logz=46.37+/-0.12 dlogz:6.847>0.1]
