
0it [00:00, ?it/s]
694it [00:13, 40.09it/s, bound:0 nc: 14 ncall:3.5e+03 eff:19.7% logz=20.22+/-0.12 dlogz:34.186>0.1]
701it [00:13, 37.88it/s, bound:0 nc: 25 ncall:3.6e+03 eff:19.6% logz=20.38+/-0.12 dlogz:34.004>0.1]
705it [00:14, 37.30it/s, bound:0 nc:  7 ncall:3.6e+03 eff:19.5% logz=20.48+/-0.12 dlogz:33.901>0.1]
709it [00:14, 36.58it/s, bound:0 nc: 13 ncall:3.7e+03 eff:19.3% logz=20.56+/-0.12 dlogz:33.803>0.1]
713it [00:14, 36.37it/s, bound:0 nc: 12 ncall:3.7e+03 eff:19.2% logz=20.65+/-0.12 dlogz:33.704>0.1]
720it [00:14, 43.39it/s, bound:0 nc: 15 ncall:3.8e+03 eff:19.2% logz=20.81+/-0.12 dlogz:33.530>0.1]
725it [00:14, 41.11it/s, bound:0 nc: 19 ncall:3.8e+03 eff:19.1% logz=20.93+/-0.12 dlogz:33.395>0.1]
730it [00:14, 37.17it/s, bound:0 nc:  1 ncall:3.9e+03 eff:18.9% logz=21.05+/-0.12 dlogz:33.262>0.1]
734it [00:14, 25.91it/s, bound:0 nc: 32 ncall:4.0e+03 eff:18.5% logz=21.14+/-0.12 dlogz:33.160>0.1]
739it [00:15, 30.20it/s, bound:0 nc: 10 ncall:4.0e+03 eff:18.5% logz=21.26+/-0.12 dlogz:33.032>0.1]
743it [00:15, 28.02it/s, bound:0 nc: 17 ncall:4.1e+03 eff:18.3% logz=21.36+/-0.12 dlogz:32.920>0.1]
748it [00:15, 30.24it/s, bound:0 nc: 16 ncall:4.1e+03 eff:18.2% logz=21.49+/-0.12 dlogz:32.785>0.1]
758it [00:15, 44.15it/s, bound:0 nc:  5 ncall:4.2e+03 eff:18.2% logz=21.75+/-0.12 dlogz:32.501>0.1]
764it [00:15, 27.82it/s, bound:0 nc: 37 ncall:4.3e+03 eff:17.8% logz=21.89+/-0.12 dlogz:32.340>0.1]
769it [00:16, 30.39it/s, bound:0 nc:  5 ncall:4.3e+03 eff:17.8% logz=22.01+/-0.12 dlogz:32.211>0.1]
774it [00:16, 33.61it/s, bound:0 nc:  1 ncall:4.4e+03 eff:17.7% logz=22.12+/-0.12 dlogz:32.082>0.1]
780it [00:16, 31.74it/s, bound:0 nc: 51 ncall:4.5e+03 eff:17.5% logz=22.26+/-0.12 dlogz:31.933>0.1]
785it [00:16, 33.71it/s, bound:0 nc: 11 ncall:4.5e+03 eff:17.5% logz=22.37+/-0.12 dlogz:31.811>0.1]
