
0it [00:00, ?it/s]
761it [00:14, 57.53it/s, bound:0 nc:  4 ncall:2.6e+03 eff:28.7% logz=0.61+/-0.16 dlogz:45.349>0.1] 
768it [00:14, 58.72it/s, bound:0 nc:  7 ncall:2.7e+03 eff:28.6% logz=1.75+/-0.16 dlogz:44.219>0.1]
775it [00:14, 54.61it/s, bound:0 nc:  8 ncall:2.7e+03 eff:28.3% logz=2.95+/-0.16 dlogz:43.030>0.1]
781it [00:14, 40.07it/s, bound:0 nc:  4 ncall:2.8e+03 eff:27.7% logz=4.08+/-0.16 dlogz:41.898>0.1]
788it [00:14, 45.25it/s, bound:0 nc:  6 ncall:2.8e+03 eff:27.7% logz=5.36+/-0.16 dlogz:40.574>0.1]
794it [00:15, 32.24it/s, bound:0 nc:  7 ncall:2.9e+03 eff:27.0% logz=6.19+/-0.16 dlogz:39.669>0.1]
799it [00:15, 29.48it/s, bound:0 nc:  6 ncall:3.0e+03 eff:26.6% logz=6.76+/-0.16 dlogz:39.094>0.1]
803it [00:15, 30.87it/s, bound:0 nc:  2 ncall:3.0e+03 eff:26.4% logz=7.25+/-0.16 dlogz:38.593>0.1]
808it [00:15, 34.06it/s, bound:0 nc:  8 ncall:3.1e+03 eff:26.3% logz=7.89+/-0.16 dlogz:37.944>0.1]
813it [00:15, 36.85it/s, bound:0 nc:  4 ncall:3.1e+03 eff:26.2% logz=8.46+/-0.16 dlogz:37.337>0.1]
819it [00:15, 41.85it/s, bound:0 nc:  4 ncall:3.1e+03 eff:26.1% logz=9.04+/-0.15 dlogz:36.732>0.1]
824it [00:16, 32.60it/s, bound:0 nc: 23 ncall:3.2e+03 eff:25.7% logz=9.52+/-0.15 dlogz:36.234>0.1]
831it [00:16, 39.31it/s, bound:0 nc:  7 ncall:3.2e+03 eff:25.7% logz=10.04+/-0.15 dlogz:35.686>0.1]
836it [00:16, 35.27it/s, bound:0 nc:  7 ncall:3.3e+03 eff:25.4% logz=10.39+/-0.15 dlogz:35.335>0.1]
841it [00:16, 35.88it/s, bound:0 nc: 19 ncall:3.3e+03 eff:25.2% logz=10.86+/-0.15 dlogz:34.873>0.1]
845it [00:16, 34.46it/s, bound:0 nc:  5 ncall:3.4e+03 eff:25.1% logz=11.24+/-0.15 dlogz:34.471>0.1]
849it [00:16, 34.34it/s, bound:0 nc: 13 ncall:3.4e+03 eff:24.9% logz=11.67+/-0.15 dlogz:34.051>0.1]
853it [00:16, 33.73it/s, bound:0 nc:  8 ncall:3.4e+03 eff:24.8% logz=12.36+/-0.16 dlogz:33.429>0.1]
859it [00:16, 39.30it/s, bound:0 nc: 21 ncall:3.5e+03 eff:24.8% logz=13.39+/-0.16 dlogz:32.335>0.1]
864it [00:17, 36.63it/s, bound:0 nc: 28 ncall:3.5e+03 eff:24.6% logz=14.00+/-0.16 dlogz:31.688>0.1]
869it [00:17, 38.63it/s, bound:0 nc: 10 ncall:3.5e+03 eff:24.5% logz=14.70+/-0.16 dlogz:31.022>0.1]
