mu sigma nu tau
1.3966099170694442 0.1843395502091837 3.4453373449466396 14.38112621912447
1.3387628068878001 0.4495278600014651 4.047657443616469 2.0818573191987806
1.370114250913589 0.1825831495584961 3.4867236524611536 11.69732315915038
1.41615251270967 0.23395636667897993 6.230589381721376 4.049635784102282
1.4248109603107433 0.2543203767594287 6.088333950187286 3.757641398123835
1.3839359691231323 0.22983548638620713 1.7984939216896185 3.1828224384320385
1.3502914715291245 0.17669749656354236 7.834459368999454 9.673137733888849
1.312664702521944 0.17231951954058325 6.884714191006579 3.9571514926571902
1.3690628458754701 0.1819560219250702 7.607620630345716 14.053024104461308
1.3365112442255405 0.12670411096382267 6.591454675818175 12.41433428624962
1.3498907933197208 0.17667958826971863 5.608860246159978 9.202524423800153
1.3706578200966926 0.18697415687992996 6.208411906313663 10.71248837467844
1.3150251217728206 0.11908289677254572 3.7240893060096827 8.784499071657914
1.3151987061611008 0.11363301951846289 2.2268089143058334 5.411094839644394
1.3977564981910753 0.21826732808440164 2.5405634074063452 4.574193728306346
1.3651741498413434 0.20424479209165605 3.9477914904496494 5.37908066061939
1.3786516454137534 0.23520024497928915 4.014667548913931 4.019676559733963
1.3419522821826313 0.161158220557381 2.694161833662881 10.450890589665999
1.2931157377076987 0.1222609295366218 7.489750374018465 3.9548484729716638
1.3800945531722044 0.31748425437616645 4.015361967675974 2.7404770083775727
1.3154597514354034 0.14374290856430355 5.368040895223636 7.556897620561308
1.2998617145361722 0.20807886614222879 2.8193255266863795 2.297061605642177
1.360184574819299 0.1774908877810223 5.899367515502901 12.384288605672529
1.4188033017626123 0.3082144377261214 5.6984376093969695 3.1129796549882585
1.3520559618033714 0.15973926267490654 2.1503605907962484 10.430729829527506
1.3482106826566134 0.13240425926653543 2.385582811910553 13.41738212249893
1.3375868825129458 0.16553774888049685 2.7378378551493108 7.698805163793269
1.3895973701072615 0.17020830244672855 3.5692961608780003 5.90294595939619
1.4195772574611873 0.24656074940019468 3.6392887006479393 3.7450854419926887
1.3604313525350253 0.31594424631669943 4.704084921991834 2.2509404742352994
1.378627467651306 0.18325422701338764 4.4206329361852745 14.426253367371057
1.3103011410982526 0.1452285408802653 6.927141844254015 3.2186481064130357
1.320489724752263 0.15620798323888394 7.82218213120405 6.652056253589434
1.3230727395258803 0.1357430471797317 5.349395341324563 3.906659347631122
1.3603988856985056 0.318825626418615 6.176887485466862 2.2759437581939377
1.3785647431435275 0.18680540554340114 1.9681980809308386 5.091501868843224
1.402565082660736 0.65083909248722 6.8279737901579 2.165979673892118
1.4061330120756326 0.20235130546595828 4.261760838649061 5.051180125460699
1.34844804412285 0.16402415621934044 5.2916749717860565 15.754226419962327
1.3258412349362287 0.12373220105978909 4.541932923351451 5.617225920501983
1.4053706234825074 0.31822891009540194 3.010612907024913 2.828486138861469
1.3570400633131847 0.13319332938099407 2.9456357750728417 10.48679956333265
1.345964878917672 0.17038811771753057 2.3118774829634257 7.069594675785019
1.3813903286255815 0.23237644498531748 6.140164577223834 4.2657076327141485
1.402064647479417 0.2322197055543308 2.258540468188539 3.496145671657133
1.331045335692966 0.14438285863282616 6.368538458311765 16.16002371861809
1.3389248656145618 0.26465270829624943 1.7247595608070039 2.5723874044013435
1.4293249314438872 0.5047368096737506 2.5508233528710336 2.207242691658236
1.3622398700507938 0.20156069373974414 5.4601414395455645 5.483426079156079
1.3530984455699087 0.13284388119249596 3.0737774307157237 15.140241809084436
1.3378379186026328 0.15164834738781288 7.092977935192532 18.12358491504877
1.342654857810348 0.6261507573842398 6.234241357609022 2.05729200675594
1.3498713215076659 0.17029882105488947 4.210553889592578 10.651694973722359
1.3196425158780865 0.16139856069931402 5.592051048407087 2.94441461642224
1.321780014036901 0.14239952914715767 5.407016762718956 9.882194844748048
1.412860181689826 0.26426626662657154 7.802801140673264 3.777293259222078
1.3420818888874728 0.15071153952741348 3.6739860800899646 19.861546389354373
1.3663099743067377 0.1832099615729909 7.44479721466395 10.519532713843867
1.3350966115994205 0.15973138701474135 4.320081960023664 9.406605831830136
1.3614339046278352 0.13745011749841077 2.5724339135915923 5.973532963335906
1.3654354143243845 0.1647417479804967 6.586741648323096 5.027768711680205
1.330756246076759 0.15885939537232555 5.670687986117749 8.434962364403363
1.3922307495757944 0.2154141993144157 7.311279174768422 5.81848126453644
1.3941162905268047 0.17666704042450143 2.9733045996273164 9.029781250994631
1.3229854309715336 0.13819799850675918 6.137614534962306 11.677268061133521
1.3747013814366853 0.1775370236401811 4.044009343262971 15.949203012963492
1.359014735417813 0.15909146643590116 2.3378747722074764 3.120105252986721
1.4179205487542896 0.2525406723405473 4.489548902255151 3.95104083138908
1.300074577344384 0.13007765261707047 3.3633153540618763 3.3150411455111843
1.3132912390410736 0.16753188645522124 5.830311386716426 4.088089190874939
1.310116323908445 0.13909929613772923 5.004472615212253 6.207968222159426
1.3901302734449312 0.2279465801988131 7.890428680571611 3.335997562807914
1.3569705221518187 0.15924304257528613 2.734577756404075 17.066305434837354
1.3680196396588142 0.18634502063519615 7.664372167090763 9.339323083803265
1.4013876267112657 0.19438307662364895 6.08049736706476 10.923768415430095
1.3747623068037496 0.15863589760916158 2.036187737444751 4.8419920519124755
1.3189887865887582 0.1544598208505409 3.4907526997718974 5.8171902297343525
1.3991051386447215 0.19096847783078125 6.005433193248342 12.466935330136131
1.3623738763847648 0.1741535344648806 3.7976102625649295 12.38904710618702
1.3393229767720949 0.1294077768340531 4.408611933999154 18.193370826094544
1.3623536662004925 0.17587916197457143 6.874988716468337 12.9516981062149
1.4106919769375854 0.20268576239961897 7.635935042413286 7.384483215812621
1.3334260300596728 0.1495509450256789 3.1221270124608917 11.008516580262564
1.3790396326140604 0.2583980649381795 6.4600115178374 3.4053630352898425
1.3919124819816093 0.22597221545635177 3.377419363801532 4.498211476671603
1.3511091553601398 0.1906864424351358 4.331331065569221 5.473508991892377
1.3395954930754275 0.15214168037135173 4.847824136774604 15.829710404009269
1.3918699779111374 0.17362590994982727 3.2298108513983124 10.339140773206713
1.3405309357770374 0.13199470755056325 2.8669098192325766 13.999276705537012
