
0it [00:00, ?it/s]
274it [00:47, 25.58it/s, bound:0 nc:12 ncall:2026 eff:13.5% logz=7.80+/-0.12 dlogz:45.363>0.10]
278it [00:48, 26.28it/s, bound:0 nc:17 ncall:2067 eff:13.4% logz=8.08+/-0.12 dlogz:45.072>0.10]
283it [00:48, 29.09it/s, bound:0 nc:20 ncall:2110 eff:13.4% logz=8.39+/-0.12 dlogz:44.738>0.10]
288it [00:48, 33.67it/s, bound:0 nc:10 ncall:2141 eff:13.5% logz=8.70+/-0.12 dlogz:44.419>0.10]
294it [00:48, 38.44it/s, bound:0 nc:7 ncall:2177 eff:13.5% logz=9.02+/-0.12 dlogz:44.072>0.10] 
300it [00:48, 38.52it/s, bound:0 nc:5 ncall:2202 eff:13.6% logz=9.31+/-0.12 dlogz:43.764>0.10]
304it [00:48, 28.10it/s, bound:0 nc:7 ncall:2241 eff:13.6% logz=9.50+/-0.12 dlogz:43.570>0.10]
308it [00:49, 22.72it/s, bound:0 nc:6 ncall:2281 eff:13.5% logz=9.71+/-0.12 dlogz:43.348>0.10]
311it [00:49, 21.20it/s, bound:0 nc:5 ncall:2305 eff:13.5% logz=9.86+/-0.12 dlogz:43.188>0.10]
315it [00:49, 24.01it/s, bound:0 nc:9 ncall:2324 eff:13.6% logz=10.07+/-0.12 dlogz:42.974>0.10]
319it [00:49, 24.01it/s, bound:0 nc:10 ncall:2346 eff:13.6% logz=10.26+/-0.12 dlogz:42.774>0.10]
322it [00:49, 15.20it/s, bound:0 nc:51 ncall:2419 eff:13.3% logz=10.43+/-0.12 dlogz:42.608>0.10]
325it [00:50, 17.17it/s, bound:0 nc:9 ncall:2440 eff:13.3% logz=10.61+/-0.12 dlogz:42.419>0.10] 
328it [00:50, 15.16it/s, bound:0 nc:3 ncall:2469 eff:13.3% logz=10.78+/-0.12 dlogz:42.236>0.10]
330it [00:50, 11.64it/s, bound:0 nc:8 ncall:2506 eff:13.2% logz=10.91+/-0.12 dlogz:42.109>0.10]
332it [00:50, 12.41it/s, bound:0 nc:17 ncall:2524 eff:13.2% logz=11.02+/-0.12 dlogz:41.983>0.10]
334it [00:50, 11.95it/s, bound:0 nc:10 ncall:2546 eff:13.1% logz=11.14+/-0.12 dlogz:41.862>0.10]
339it [00:51, 12.48it/s, bound:0 nc:36 ncall:2595 eff:13.1% logz=11.38+/-0.12 dlogz:41.596>0.10]
343it [00:51, 15.72it/s, bound:0 nc:3 ncall:2609 eff:13.1% logz=11.58+/-0.12 dlogz:44.325>0.10] 
345it [00:51, 15.68it/s, bound:0 nc:1 ncall:2626 eff:13.1% logz=11.67+/-0.12 dlogz:44.225>0.10]
349it [00:51, 17.52it/s, bound:0 nc:17 ncall:2656 eff:13.1% logz=11.85+/-0.12 dlogz:44.035>0.10]
351it [00:51, 15.48it/s, bound:0 nc:13 ncall:2675 eff:13.1% logz=11.93+/-0.12 dlogz:43.946>0.10]
353it [00:52, 15.68it/s, bound:0 nc:4 ncall:2693 eff:13.1% logz=12.01+/-0.12 dlogz:43.860>0.10] 
355it [00:52, 15.97it/s, bound:0 nc:11 ncall:2706 eff:13.1% logz=12.10+/-0.12 dlogz:43.769>0.10]
358it [00:52, 18.03it/s, bound:0 nc:3 ncall:2723 eff:13.1% logz=12.27+/-0.12 dlogz:43.613>0.10] 
360it [00:52, 11.22it/s, bound:0 nc:40 ncall:2773 eff:13.0% logz=12.40+/-0.12 dlogz:43.478>0.10]
365it [00:52, 17.00it/s, bound:0 nc:8 ncall:2791 eff:13.1% logz=12.70+/-0.12 dlogz:43.158>0.10] 
368it [00:53, 16.84it/s, bound:0 nc:9 ncall:2812 eff:13.1% logz=12.87+/-0.12 dlogz:42.981>0.10]
371it [00:53, 17.75it/s, bound:0 nc:5 ncall:2837 eff:13.1% logz=13.04+/-0.12 dlogz:42.798>0.10]
374it [00:53, 14.94it/s, bound:0 nc:50 ncall:2906 eff:12.9% logz=13.20+/-0.12 dlogz:42.625>0.10]
379it [00:53, 19.46it/s, bound:0 nc:8 ncall:2935 eff:12.9% logz=13.44+/-0.12 dlogz:42.371>0.10] 
382it [00:53, 14.33it/s, bound:0 nc:21 ncall:2983 eff:12.8% logz=13.57+/-0.12 dlogz:42.228>0.10]
384it [00:54, 13.21it/s, bound:0 nc:16 ncall:3008 eff:12.8% logz=13.66+/-0.12 dlogz:42.132>0.10]
386it [00:54,  9.87it/s, bound:0 nc:6 ncall:3050 eff:12.7% logz=13.75+/-0.12 dlogz:42.038>0.10] 
388it [00:54,  9.87it/s, bound:0 nc:22 ncall:3074 eff:12.6% logz=13.83+/-0.12 dlogz:41.951>0.10]
391it [00:54, 11.42it/s, bound:0 nc:12 ncall:3098 eff:12.6% logz=13.97+/-0.12 dlogz:41.818>0.10]
395it [00:55, 15.34it/s, bound:0 nc:4 ncall:3114 eff:12.7% logz=14.17+/-0.12 dlogz:41.609>0.10] 
397it [00:55, 12.31it/s, bound:0 nc:36 ncall:3160 eff:12.6% logz=14.27+/-0.12 dlogz:41.500>0.10]
399it [00:55, 13.52it/s, bound:0 nc:8 ncall:3176 eff:12.6% logz=14.39+/-0.12 dlogz:41.381>0.10] 
401it [00:55, 13.42it/s, bound:0 nc:11 ncall:3196 eff:12.5% logz=14.51+/-0.12 dlogz:41.260>0.10]
403it [00:55, 13.31it/s, bound:0 nc:19 ncall:3221 eff:12.5% logz=14.61+/-0.12 dlogz:41.146>0.10]
408it [00:55, 18.71it/s, bound:0 nc:11 ncall:3242 eff:12.6% logz=14.90+/-0.12 dlogz:40.851>0.10]
411it [00:56, 18.98it/s, bound:0 nc:11 ncall:3270 eff:12.6% logz=15.09+/-0.12 dlogz:40.658>0.10]
414it [00:56, 21.21it/s, bound:0 nc:11 ncall:3285 eff:12.6% logz=15.26+/-0.12 dlogz:40.469>0.10]
417it [00:56, 18.89it/s, bound:0 nc:8 ncall:3316 eff:12.6% logz=15.42+/-0.12 dlogz:40.296>0.10] 
420it [00:56, 19.16it/s, bound:0 nc:7 ncall:3339 eff:12.6% logz=15.59+/-0.12 dlogz:40.129>0.10]
423it [00:56, 19.40it/s, bound:0 nc:5 ncall:3367 eff:12.6% logz=15.77+/-0.12 dlogz:39.943>0.10]
426it [00:56, 14.35it/s, bound:0 nc:3 ncall:3418 eff:12.5% logz=15.95+/-0.13 dlogz:39.757>0.10]
429it [00:57, 16.83it/s, bound:0 nc:1 ncall:3433 eff:12.5% logz=16.13+/-0.13 dlogz:39.568>0.10]
434it [00:57, 21.58it/s, bound:0 nc:7 ncall:3461 eff:12.5% logz=16.39+/-0.13 dlogz:39.286>0.10]
439it [00:57, 25.30it/s, bound:0 nc:7 ncall:3483 eff:12.6% logz=16.62+/-0.12 dlogz:39.045>0.10]
442it [00:57, 25.65it/s, bound:0 nc:5 ncall:3501 eff:12.6% logz=16.78+/-0.12 dlogz:38.885>0.10]
445it [00:57, 15.05it/s, bound:0 nc:12 ncall:3554 eff:12.5% logz=16.94+/-0.13 dlogz:38.713>0.10]
448it [00:58, 15.12it/s, bound:0 nc:19 ncall:3599 eff:12.4% logz=17.10+/-0.13 dlogz:38.544>0.10]
450it [00:58, 11.08it/s, bound:0 nc:61 ncall:3681 eff:12.2% logz=17.19+/-0.13 dlogz:38.440>0.10]
452it [00:58,  9.77it/s, bound:0 nc:49 ncall:3747 eff:12.1% logz=17.28+/-0.12 dlogz:38.343>0.10]
454it [00:58, 10.71it/s, bound:0 nc:4 ncall:3765 eff:12.1% logz=17.37+/-0.12 dlogz:38.249>0.10] 
457it [00:59, 11.92it/s, bound:0 nc:11 ncall:3786 eff:12.1% logz=17.50+/-0.12 dlogz:38.112>0.10]
459it [00:59, 10.42it/s, bound:0 nc:7 ncall:3817 eff:12.0% logz=17.59+/-0.12 dlogz:38.017>0.10] 
461it [00:59, 10.38it/s, bound:0 nc:11 ncall:3843 eff:12.0% logz=17.68+/-0.12 dlogz:37.920>0.10]
465it [00:59, 11.77it/s, bound:0 nc:27 ncall:3877 eff:12.0% logz=17.86+/-0.12 dlogz:37.730>0.10]
467it [01:00, 10.42it/s, bound:0 nc:25 ncall:3906 eff:12.0% logz=17.95+/-0.12 dlogz:37.639>0.10]
469it [01:00,  9.49it/s, bound:0 nc:20 ncall:3940 eff:11.9% logz=18.03+/-0.12 dlogz:37.547>0.10]
472it [01:00, 10.88it/s, bound:0 nc:12 ncall:3963 eff:11.9% logz=18.16+/-0.12 dlogz:37.413>0.10]
474it [01:00,  9.45it/s, bound:0 nc:11 ncall:3994 eff:11.9% logz=18.24+/-0.12 dlogz:37.328>0.10]
477it [01:00, 11.75it/s, bound:0 nc:3 ncall:4009 eff:11.9% logz=18.35+/-0.12 dlogz:37.205>0.10] 
479it [01:01, 12.34it/s, bound:0 nc:11 ncall:4031 eff:11.9% logz=18.43+/-0.12 dlogz:37.125>0.10]
482it [01:01, 14.58it/s, bound:0 nc:5 ncall:4045 eff:11.9% logz=18.55+/-0.12 dlogz:36.999>0.10] 
485it [01:01, 13.34it/s, bound:0 nc:19 ncall:4074 eff:11.9% logz=18.67+/-0.12 dlogz:36.866>0.10]
487it [01:01, 12.36it/s, bound:0 nc:14 ncall:4098 eff:11.9% logz=18.75+/-0.12 dlogz:36.781>0.10]
489it [01:02,  9.38it/s, bound:0 nc:6 ncall:4140 eff:11.8% logz=18.84+/-0.12 dlogz:36.694>0.10] 
491it [01:02, 10.35it/s, bound:0 nc:2 ncall:4160 eff:11.8% logz=18.92+/-0.12 dlogz:36.603>0.10]
493it [01:02, 11.31it/s, bound:0 nc:5 ncall:4176 eff:11.8% logz=19.01+/-0.12 dlogz:36.512>0.10]
495it [01:02, 10.87it/s, bound:0 nc:13 ncall:4193 eff:11.8% logz=19.10+/-0.12 dlogz:36.420>0.10]
497it [01:03,  7.31it/s, bound:0 nc:56 ncall:4260 eff:11.7% logz=19.18+/-0.12 dlogz:36.333>0.10]
498it [01:03,  7.01it/s, bound:0 nc:27 ncall:4287 eff:11.6% logz=19.21+/-0.12 dlogz:36.292>0.10]
501it [01:03,  7.34it/s, bound:0 nc:46 ncall:4339 eff:11.5% logz=19.33+/-0.12 dlogz:36.172>0.10]
503it [01:03,  7.83it/s, bound:0 nc:20 ncall:4372 eff:11.5% logz=19.41+/-0.12 dlogz:36.086>0.10]
504it [01:04,  7.06it/s, bound:0 nc:36 ncall:4408 eff:11.4% logz=19.45+/-0.12 dlogz:36.044>0.10]
507it [01:04,  9.59it/s, bound:0 nc:14 ncall:4438 eff:11.4% logz=19.56+/-0.12 dlogz:35.920>0.10]
509it [01:04, 10.66it/s, bound:0 nc:1 ncall:4461 eff:11.4% logz=19.64+/-0.12 dlogz:35.840>0.10] 
511it [01:04,  8.46it/s, bound:0 nc:48 ncall:4532 eff:11.3% logz=19.72+/-0.12 dlogz:35.758>0.10]
513it [01:05,  7.57it/s, bound:0 nc:25 ncall:4602 eff:11.1% logz=19.79+/-0.12 dlogz:35.674>0.10]
517it [01:05, 11.32it/s, bound:0 nc:15 ncall:4635 eff:11.2% logz=19.95+/-0.12 dlogz:35.509>0.10]
519it [01:05, 12.57it/s, bound:0 nc:15 ncall:4662 eff:11.1% logz=20.03+/-0.12 dlogz:35.422>0.10]
521it [01:05, 12.36it/s, bound:0 nc:12 ncall:4696 eff:11.1% logz=20.11+/-0.12 dlogz:35.338>0.10]
523it [01:05,  8.63it/s, bound:0 nc:42 ncall:4772 eff:11.0% logz=20.18+/-0.12 dlogz:35.258>0.10]
525it [01:06,  8.82it/s, bound:0 nc:10 ncall:4817 eff:10.9% logz=20.26+/-0.12 dlogz:35.179>0.10]
527it [01:06,  8.06it/s, bound:0 nc:23 ncall:4866 eff:10.8% logz=20.33+/-0.12 dlogz:35.101>0.10]
528it [01:06,  7.21it/s, bound:0 nc:24 ncall:4890 eff:10.8% logz=20.36+/-0.12 dlogz:35.064>0.10]
529it [01:06,  6.55it/s, bound:0 nc:27 ncall:4917 eff:10.8% logz=20.40+/-0.12 dlogz:35.025>0.10]
530it [01:06,  6.64it/s, bound:0 nc:13 ncall:4930 eff:10.8% logz=20.44+/-0.12 dlogz:34.987>0.10]
532it [01:07,  7.63it/s, bound:0 nc:23 ncall:4954 eff:10.7% logz=20.50+/-0.12 dlogz:34.913>0.10]
537it [01:07, 12.88it/s, bound:0 nc:11 ncall:4977 eff:10.8% logz=20.67+/-0.12 dlogz:34.730>0.10]
539it [01:07, 12.19it/s, bound:0 nc:14 ncall:5003 eff:10.8% logz=20.73+/-0.12 dlogz:34.661>0.10]
541it [01:07, 12.94it/s, bound:0 nc:2 ncall:5022 eff:10.8% logz=20.80+/-0.12 dlogz:34.594>0.10] 
543it [01:08,  9.31it/s, bound:0 nc:38 ncall:5072 eff:10.7% logz=20.86+/-0.12 dlogz:34.524>0.10]
545it [01:08,  8.21it/s, bound:0 nc:27 ncall:5110 eff:10.7% logz=20.92+/-0.12 dlogz:34.455>0.10]
547it [01:09,  5.26it/s, bound:0 nc:82 ncall:5198 eff:10.5% logz=20.98+/-0.12 dlogz:34.390>0.10]
548it [01:09,  4.99it/s, bound:0 nc:31 ncall:5229 eff:10.5% logz=21.01+/-0.12 dlogz:34.358>0.10]
551it [01:09,  6.99it/s, bound:0 nc:14 ncall:5254 eff:10.5% logz=21.10+/-0.12 dlogz:34.264>0.10]
553it [01:09,  6.74it/s, bound:0 nc:32 ncall:5292 eff:10.4% logz=21.16+/-0.12 dlogz:34.200>0.10]
556it [01:10,  8.05it/s, bound:0 nc:18 ncall:5322 eff:10.4% logz=21.24+/-0.12 dlogz:34.106>0.10]
557it [01:10,  8.03it/s, bound:0 nc:17 ncall:5339 eff:10.4% logz=21.27+/-0.12 dlogz:34.075>0.10]
560it [01:10, 10.81it/s, bound:0 nc:13 ncall:5360 eff:10.4% logz=21.36+/-0.12 dlogz:33.982>0.10]
562it [01:10,  9.27it/s, bound:0 nc:13 ncall:5400 eff:10.4% logz=21.42+/-0.12 dlogz:33.920>0.10]
564it [01:11,  6.38it/s, bound:0 nc:33 ncall:5485 eff:10.3% logz=21.47+/-0.12 dlogz:33.859>0.10]
565it [01:11,  6.48it/s, bound:0 nc:23 ncall:5508 eff:10.3% logz=21.50+/-0.12 dlogz:33.828>0.10]
566it [01:11,  6.25it/s, bound:0 nc:32 ncall:5540 eff:10.2% logz=21.53+/-0.12 dlogz:33.798>0.10]
568it [01:11,  7.95it/s, bound:0 nc:7 ncall:5582 eff:10.2% logz=21.58+/-0.12 dlogz:33.738>0.10] 
569it [01:11,  7.82it/s, bound:0 nc:22 ncall:5604 eff:10.2% logz=21.61+/-0.12 dlogz:33.709>0.10]
571it [01:11,  9.14it/s, bound:0 nc:9 ncall:5627 eff:10.1% logz=21.66+/-0.12 dlogz:33.651>0.10] 
573it [01:12, 10.40it/s, bound:0 nc:4 ncall:5650 eff:10.1% logz=21.71+/-0.12 dlogz:33.596>0.10]
575it [01:12, 11.32it/s, bound:0 nc:20 ncall:5674 eff:10.1% logz=21.76+/-0.12 dlogz:33.542>0.10]
577it [01:12,  8.29it/s, bound:0 nc:31 ncall:5744 eff:10.0% logz=21.81+/-0.12 dlogz:33.486>0.10]
579it [01:12,  7.66it/s, bound:0 nc:30 ncall:5777 eff:10.0% logz=21.86+/-0.12 dlogz:33.431>0.10]
582it [01:13,  9.58it/s, bound:0 nc:21 ncall:5807 eff:10.0% logz=21.93+/-0.12 dlogz:33.351>0.10]
584it [01:13,  9.10it/s, bound:0 nc:29 ncall:5837 eff:10.0% logz=21.98+/-0.12 dlogz:33.299>0.10]
586it [01:13,  7.85it/s, bound:1 nc:4 ncall:5872 eff:10.0% logz=22.02+/-0.12 dlogz:33.250>0.10] 
587it [01:21,  1.39s/it, bound:1 nc:159 ncall:6031 eff:9.7% logz=22.04+/-0.12 dlogz:33.224>0.10]
589it [01:21,  1.05it/s, bound:2 nc:129 ncall:6261 eff:9.4% logz=22.09+/-0.12 dlogz:33.171>0.10]
592it [01:21,  1.73it/s, bound:3 nc:102 ncall:6575 eff:9.0% logz=22.17+/-0.12 dlogz:33.090>0.10]
595it [01:27,  1.07s/it, bound:4 nc:101 ncall:6878 eff:8.7% logz=22.24+/-0.12 dlogz:33.008>0.10]
598it [01:27,  1.41it/s, bound:5 nc:115 ncall:7195 eff:8.3% logz=22.31+/-0.12 dlogz:32.928>0.10]
603it [01:33,  1.04it/s, bound:6 nc:101 ncall:7703 eff:7.8% logz=22.43+/-0.12 dlogz:32.799>0.10]
607it [01:33,  1.54it/s, bound:8 nc:123 ncall:8129 eff:7.5% logz=22.52+/-0.12 dlogz:32.698>0.10]
