
0it [00:00, ?it/s]
1103it [00:10, 37.32it/s, bound:0 nc: 28 ncall:5.8e+03 eff:19.1% logz=20.23+/-0.15 dlogz:22.591>0.1]
1107it [00:10, 35.53it/s, bound:0 nc:  8 ncall:5.9e+03 eff:18.9% logz=20.38+/-0.15 dlogz:22.435>0.1]
1112it [00:10, 37.79it/s, bound:0 nc: 11 ncall:5.9e+03 eff:18.8% logz=20.57+/-0.15 dlogz:22.236>0.1]
1116it [00:10, 26.98it/s, bound:0 nc: 46 ncall:6.1e+03 eff:18.4% logz=20.71+/-0.15 dlogz:22.084>0.1]
1122it [00:10, 31.27it/s, bound:0 nc: 46 ncall:6.1e+03 eff:18.3% logz=20.91+/-0.15 dlogz:21.866>0.1]
1127it [00:10, 32.79it/s, bound:0 nc: 41 ncall:6.2e+03 eff:18.2% logz=21.09+/-0.15 dlogz:21.678>0.1]
1131it [00:11, 23.43it/s, bound:0 nc: 38 ncall:6.4e+03 eff:17.8% logz=21.24+/-0.15 dlogz:21.520>0.1]
1136it [00:11, 26.90it/s, bound:0 nc: 29 ncall:6.4e+03 eff:17.7% logz=21.43+/-0.15 dlogz:21.317>0.1]
1140it [00:11, 28.40it/s, bound:0 nc:  1 ncall:6.5e+03 eff:17.6% logz=21.58+/-0.15 dlogz:21.153>0.1]
1146it [00:11, 33.75it/s, bound:0 nc: 24 ncall:6.5e+03 eff:17.5% logz=21.82+/-0.15 dlogz:20.900>0.1]
1150it [00:11, 24.22it/s, bound:0 nc: 85 ncall:6.7e+03 eff:17.2% logz=21.98+/-0.15 dlogz:20.734>0.1]
1154it [00:12, 26.50it/s, bound:0 nc: 29 ncall:6.8e+03 eff:17.1% logz=22.12+/-0.15 dlogz:20.574>0.1]
1158it [00:12, 27.67it/s, bound:0 nc: 14 ncall:6.8e+03 eff:17.0% logz=22.26+/-0.15 dlogz:20.427>0.1]
1162it [00:12, 27.04it/s, bound:0 nc:  2 ncall:6.9e+03 eff:16.8% logz=22.39+/-0.15 dlogz:20.285>0.1]
1170it [00:12, 37.42it/s, bound:0 nc: 23 ncall:7.0e+03 eff:16.8% logz=22.63+/-0.15 dlogz:20.020>0.1]
1175it [00:12, 28.70it/s, bound:0 nc: 39 ncall:7.1e+03 eff:16.5% logz=22.78+/-0.15 dlogz:19.857>0.1]
1180it [00:12, 31.07it/s, bound:0 nc: 12 ncall:7.2e+03 eff:16.5% logz=22.93+/-0.15 dlogz:19.691>0.1]
1187it [00:13, 31.70it/s, bound:0 nc: 74 ncall:7.3e+03 eff:16.3% logz=23.12+/-0.15 dlogz:19.482>0.1]
1191it [00:13, 31.67it/s, bound:0 nc:  4 ncall:7.3e+03 eff:16.2% logz=23.23+/-0.15 dlogz:19.368>0.1]
1195it [00:13, 31.34it/s, bound:0 nc:  8 ncall:7.4e+03 eff:16.1% logz=23.33+/-0.15 dlogz:19.256>0.1]
1199it [00:13, 29.20it/s, bound:0 nc: 27 ncall:7.5e+03 eff:16.0% logz=23.42+/-0.15 dlogz:19.149>0.1]
1204it [00:13, 29.47it/s, bound:0 nc: 58 ncall:7.6e+03 eff:15.9% logz=23.54+/-0.15 dlogz:19.017>0.1]
1208it [00:13, 25.71it/s, bound:0 nc: 17 ncall:7.7e+03 eff:15.7% logz=23.63+/-0.15 dlogz:18.919>0.1]
1211it [00:13, 25.09it/s, bound:0 nc: 41 ncall:7.7e+03 eff:15.6% logz=23.69+/-0.15 dlogz:18.847>0.1]
1214it [00:14, 22.73it/s, bound:0 nc: 20 ncall:7.8e+03 eff:15.5% logz=23.76+/-0.15 dlogz:18.775>0.1]
1217it [00:14, 21.92it/s, bound:0 nc: 12 ncall:7.9e+03 eff:15.4% logz=23.82+/-0.15 dlogz:18.706>0.1]
1221it [00:14, 25.45it/s, bound:0 nc:  8 ncall:8.0e+03 eff:15.3% logz=23.90+/-0.15 dlogz:18.613>0.1]
1226it [00:14, 30.49it/s, bound:0 nc:  8 ncall:8.0e+03 eff:15.3% logz=24.02+/-0.15 dlogz:18.486>0.1]
1230it [00:14, 30.91it/s, bound:0 nc: 38 ncall:8.1e+03 eff:15.2% logz=24.11+/-0.15 dlogz:18.384>0.1]
1235it [00:14, 34.48it/s, bound:0 nc:  8 ncall:8.2e+03 eff:15.1% logz=24.24+/-0.15 dlogz:18.248>0.1]
1243it [00:14, 41.79it/s, bound:0 nc: 20 ncall:8.2e+03 eff:15.1% logz=24.43+/-0.15 dlogz:18.036>0.1]
1248it [00:15, 26.18it/s, bound:0 nc: 97 ncall:8.4e+03 eff:14.8% logz=24.55+/-0.15 dlogz:17.903>0.1]
1252it [00:15, 26.34it/s, bound:0 nc: 13 ncall:8.5e+03 eff:14.8% logz=24.65+/-0.15 dlogz:17.791>0.1]
1256it [00:15, 26.63it/s, bound:0 nc: 10 ncall:8.6e+03 eff:14.7% logz=24.76+/-0.15 dlogz:17.677>0.1]
1261it [00:15, 26.40it/s, bound:0 nc: 60 ncall:8.7e+03 eff:14.6% logz=24.88+/-0.15 dlogz:17.538>0.1]
1265it [00:15, 28.75it/s, bound:0 nc: 12 ncall:8.7e+03 eff:14.5% logz=24.97+/-0.15 dlogz:17.434>0.1]
1269it [00:16, 25.87it/s, bound:0 nc: 38 ncall:8.8e+03 eff:14.4% logz=25.07+/-0.15 dlogz:17.327>0.1]
1272it [00:16, 22.52it/s, bound:0 nc:  3 ncall:8.9e+03 eff:14.2% logz=25.15+/-0.15 dlogz:17.241>0.1]
1275it [00:16, 20.44it/s, bound:0 nc:  6 ncall:9.0e+03 eff:14.1% logz=25.23+/-0.15 dlogz:17.153>0.1]
1281it [00:16, 25.42it/s, bound:0 nc: 45 ncall:9.1e+03 eff:14.1% logz=25.40+/-0.15 dlogz:16.970>0.1]
1284it [00:16, 23.69it/s, bound:0 nc: 28 ncall:9.2e+03 eff:14.0% logz=25.49+/-0.15 dlogz:16.876>0.1]
1287it [00:16, 21.90it/s, bound:0 nc: 24 ncall:9.3e+03 eff:13.9% logz=25.57+/-0.15 dlogz:16.784>0.1]
1290it [00:17, 23.41it/s, bound:0 nc: 47 ncall:9.3e+03 eff:13.8% logz=25.65+/-0.15 dlogz:16.695>0.1]
1293it [00:17, 21.98it/s, bound:0 nc:  5 ncall:9.4e+03 eff:13.7% logz=25.74+/-0.15 dlogz:16.606>0.1]
1296it [00:17, 20.54it/s, bound:0 nc: 46 ncall:9.5e+03 eff:13.6% logz=25.82+/-0.15 dlogz:16.516>0.1]
1300it [00:17, 17.03it/s, bound:0 nc:115 ncall:9.7e+03 eff:13.5% logz=25.92+/-0.15 dlogz:16.400>0.1]
1302it [00:17, 14.25it/s, bound:0 nc: 75 ncall:9.8e+03 eff:13.3% logz=25.97+/-0.15 dlogz:16.345>0.1]
1305it [00:18, 16.14it/s, bound:0 nc: 31 ncall:9.8e+03 eff:13.3% logz=26.04+/-0.15 dlogz:16.263>0.1]
1308it [00:18, 17.15it/s, bound:0 nc: 32 ncall:9.9e+03 eff:13.2% logz=26.12+/-0.15 dlogz:16.184>0.1]
1310it [00:18, 15.87it/s, bound:0 nc: 36 ncall:1.0e+04 eff:13.1% logz=26.16+/-0.15 dlogz:16.132>0.1]
1316it [00:18, 16.84it/s, bound:0 nc:132 ncall:1.0e+04 eff:13.0% logz=26.30+/-0.15 dlogz:15.982>0.1]
1320it [00:18, 19.00it/s, bound:0 nc: 35 ncall:1.0e+04 eff:12.9% logz=26.39+/-0.15 dlogz:15.880>0.1]
1324it [00:18, 19.55it/s, bound:0 nc: 65 ncall:1.0e+04 eff:12.8% logz=26.48+/-0.15 dlogz:15.780>0.1]
1327it [00:19, 20.83it/s, bound:0 nc:  8 ncall:1.0e+04 eff:12.8% logz=26.55+/-0.15 dlogz:15.705>0.1]
1330it [00:19, 16.68it/s, bound:0 nc:  2 ncall:1.1e+04 eff:12.6% logz=26.61+/-0.15 dlogz:15.632>0.1]
1333it [00:19, 16.79it/s, bound:0 nc: 52 ncall:1.1e+04 eff:12.5% logz=26.68+/-0.15 dlogz:15.559>0.1]
1335it [00:19, 15.81it/s, bound:0 nc:  8 ncall:1.1e+04 eff:12.5% logz=26.72+/-0.15 dlogz:15.510>0.1]
1339it [00:19, 19.68it/s, bound:0 nc: 14 ncall:1.1e+04 eff:12.4% logz=26.81+/-0.15 dlogz:15.413>0.1]
1342it [00:19, 20.19it/s, bound:0 nc: 15 ncall:1.1e+04 eff:12.4% logz=26.87+/-0.15 dlogz:15.340>0.1]
1346it [00:20, 19.79it/s, bound:0 nc: 84 ncall:1.1e+04 eff:12.3% logz=26.96+/-0.15 dlogz:15.247>0.1]
1350it [00:20, 18.96it/s, bound:0 nc: 82 ncall:1.1e+04 eff:12.2% logz=27.04+/-0.15 dlogz:15.155>0.1]
1352it [00:20, 15.70it/s, bound:0 nc: 61 ncall:1.1e+04 eff:12.1% logz=27.07+/-0.15 dlogz:15.112>0.1]
1354it [00:20, 15.44it/s, bound:0 nc: 68 ncall:1.1e+04 eff:12.0% logz=27.11+/-0.15 dlogz:15.068>0.1]
1358it [00:20, 19.32it/s, bound:0 nc: 24 ncall:1.1e+04 eff:12.0% logz=27.19+/-0.15 dlogz:14.982>0.1]
1361it [00:21, 17.98it/s, bound:0 nc: 18 ncall:1.1e+04 eff:11.9% logz=27.24+/-0.15 dlogz:14.919>0.1]
1363it [00:21, 11.20it/s, bound:0 nc:172 ncall:1.2e+04 eff:11.7% logz=27.28+/-0.15 dlogz:14.876>0.1]
1367it [00:21, 15.06it/s, bound:0 nc: 29 ncall:1.2e+04 eff:11.7% logz=27.35+/-0.15 dlogz:14.793>0.1]
1371it [00:21, 17.96it/s, bound:0 nc: 39 ncall:1.2e+04 eff:11.7% logz=27.43+/-0.15 dlogz:14.712>0.1]
1375it [00:21, 21.84it/s, bound:0 nc: 23 ncall:1.2e+04 eff:11.6% logz=27.50+/-0.15 dlogz:14.631>0.1]
1380it [00:21, 27.67it/s, bound:0 nc: 18 ncall:1.2e+04 eff:11.6% logz=27.58+/-0.15 dlogz:14.533>0.1]
1384it [00:22, 22.80it/s, bound:0 nc:  4 ncall:1.2e+04 eff:11.5% logz=27.65+/-0.15 dlogz:14.456>0.1]
1387it [00:22, 20.26it/s, bound:0 nc:  2 ncall:1.2e+04 eff:11.5% logz=27.70+/-0.15 dlogz:14.400>0.1]
1390it [00:22, 21.07it/s, bound:0 nc:  4 ncall:1.2e+04 eff:11.4% logz=27.74+/-0.15 dlogz:14.345>0.1]
1393it [00:22, 15.61it/s, bound:0 nc: 10 ncall:1.2e+04 eff:11.3% logz=27.79+/-0.15 dlogz:14.289>0.1]
1395it [00:23, 12.54it/s, bound:0 nc:111 ncall:1.2e+04 eff:11.2% logz=27.82+/-0.15 dlogz:14.253>0.1]
1397it [00:23, 12.76it/s, bound:0 nc: 32 ncall:1.3e+04 eff:11.1% logz=27.85+/-0.15 dlogz:14.217>0.1]
1399it [00:23, 10.78it/s, bound:0 nc: 98 ncall:1.3e+04 eff:11.0% logz=27.88+/-0.15 dlogz:14.182>0.1]
1401it [00:23, 10.12it/s, bound:0 nc:  5 ncall:1.3e+04 eff:10.9% logz=27.91+/-0.15 dlogz:14.147>0.1]
1404it [00:24, 11.44it/s, bound:0 nc: 57 ncall:1.3e+04 eff:10.9% logz=27.96+/-0.15 dlogz:14.095>0.1]
1407it [00:24, 13.77it/s, bound:0 nc: 24 ncall:1.3e+04 eff:10.8% logz=28.00+/-0.15 dlogz:14.045>0.1]
1409it [00:24, 13.85it/s, bound:0 nc:  8 ncall:1.3e+04 eff:10.8% logz=28.03+/-0.15 dlogz:14.013>0.1]
1411it [00:24, 12.75it/s, bound:0 nc:  1 ncall:1.3e+04 eff:10.7% logz=28.05+/-0.15 dlogz:13.980>0.1]
1413it [00:24, 13.45it/s, bound:0 nc: 17 ncall:1.3e+04 eff:10.7% logz=28.08+/-0.15 dlogz:13.949>0.1]
1417it [00:24, 14.77it/s, bound:0 nc: 80 ncall:1.3e+04 eff:10.6% logz=28.13+/-0.15 dlogz:13.887>0.1]
1419it [00:25, 12.70it/s, bound:0 nc: 20 ncall:1.3e+04 eff:10.6% logz=28.15+/-0.15 dlogz:13.857>0.1]
1421it [00:25, 13.27it/s, bound:0 nc: 26 ncall:1.4e+04 eff:10.5% logz=28.18+/-0.15 dlogz:13.827>0.1]
1425it [00:25, 16.95it/s, bound:0 nc: 32 ncall:1.4e+04 eff:10.5% logz=28.23+/-0.15 dlogz:13.769>0.1]
1427it [00:25, 17.39it/s, bound:0 nc: 53 ncall:1.4e+04 eff:10.5% logz=28.25+/-0.15 dlogz:13.740>0.1]
